AccountID,CustomerID,Balance,AccountType,OpenDate,Status
ACC0001,CUS0003,-2841.71,Scientist,04/23/2023,Inactive
INVALID_63,CUS0017,16106.96,Language,2024-10-30,frozen
ACC0003,CUS0007,17063.27,Marriage,07-03-2022,Inactive
ACC0004,CUS0009,46697.71,Perhaps,10/08/2024,Frozen
ACC0005,CUS0017,38901.4,Southern,2022-10-13,Active
ACC0006,CUS0002,49564.59,Different,08/12/2022,Inactive
ACC0007,CUS0015,14494.05,Effort,09/16/2022,Active
ACC0008,CUS0003,2986.0,Chair,2023-04-18,Inactive
ACC0009,CUS0018,43402.23,Official,31-05-2024,active
ACC0010,CUS0006,38990.35,Clear,07/06/2022,Frozen
ACC0011,CUS0020,14485.61,Power,14-08-2022,Active
ACC0012,CUS0015,30040.13,Gun,2022-08-20,Frozen
ACC0013,CUS0003,14270.96,Republican,2024-05-16,Inactive
INVALID_26,CUS0010,49217.6,Water,11/08/2023,Active
ACC0015,CUS0004,,To,31/07/2022,Frozen
ACC0016,CUS0006,48608.74,Middle,2022-03-01,Inactive
ACC0017,CUS0004,,Film,29/05/2024,Inactive
INVALID_97,CUS0002,3421.95,Increase,2023-06-07,Frozen
ACC0019,CUS0002,7488.63,Movie,2023-11-12,Frozen
ACC0020,CUS0009,17130.31,Seven,2024-04-07,Frozen
ACC0021,CUS0002,39935.65,Choice,05/01/2023,Frozen
ACC0022,CUS0012,18989.2,Group,18-07-2024,Active
ACC0023,CUS0017,44449.88,Allow,2022-10-02,Frozen
ACC0024,CUS0004,3641.35,Manager,14-04-2023,Inactive
ACC0025,CUS0015,20757.41,Whatever,04/01/2023,Frozen
ACC0026,CUS0014,15512.04,Beat,2023-04-05,Frozen
ACC0027,CUS0003,13309.8,Than,01/01/2022,Active
ACC0028,CUS0004,28535.74,Politics,11/08/2022,Frozen
ACC0029,CUS0012,20801.79,Employee,23-03-2024,Active
ACC0030,CUS0011,8357.17,In,2023-05-08,Active
ACC0031,CUS0002,28613.49,State,2024-01-21,Inactive
ACC0032,CUS0014,45709.22,Yes,01-10-2022,Inactive
ACC0033,CUS0003,24398.6,Home,2022-04-11,Active
ACC0034,CUS0013,45289.67,Turn,09/05/2023,Inactive
ACC0035,CUS0006,5988.08,Start,06/26/2023,Frozen
ACC0036,CUS9999,49834.8,Main,07-01-2022,Frozen
ACC0037,CUS0020,9345.24,Style,31/05/2024,Inactive
ACC0038,CUS0014,28720.5,Five,2022-11-22,Frozen
ACC0039,CUS0003,16941.77,Present,2024-09-08,Active
ACC0034,CUS0011,33475.75,Court,2022-12-17,Frozen
ACC0041,CUS0006,11571.03,List,30-01-2022,Inactive
ACC0042,CUS0009,38879.16,Call,26-10-2024,Inactive
ACC0043,CUS0015,39094.99,Accept,05/12/2023,Inactive
ACC0044,CUS0014,12703.87,Drug,2024-03-21,Inactive
ACC0045,CUS0008,47048.24,Certainly,2022-05-07,Inactive
ACC0046,CUS0015,-3961.34,Exactly,28/12/2023,Frozen
ACC0047,CUS0015,2193.33,Board,2023-09-25,Active
ACC0048,CUS0020,11436.22,Song,02/04/2023,Frozen
ACC0049,CUS0006,23224.05,Program,04/20/2022,Frozen
ACC0050,CUS0020,34004.67,Ten,11/30/2023,Frozen
ACC0051,CUS0010,27525.16,None,07/21/2023,Active
ACC0052,CUS0003,35460.03,Itself,04-10-2024,Active
ACC0053,CUS0018,7962.03,Television,2024-11-15,Inactive
ACC0054,CUS0011,4456.19,Order,29-05-2023,Active
ACC0055,CUS0002,34897.84,Final,2023-06-03,inactive
ACC0056,CUS0009,26172.05,Particularly,2024-04-29,Frozen
ACC0057,CUS0005,43673.04,Nor,23-04-2022,Frozen
ACC0058,CUS0002,46753.27,Culture,01/29/2024,Frozen
ACC0059,CUS0003,28040.41,Every,18-11-2022,Frozen
ACC0060,CUS0008,38377.94,Firm,2022-04-20,Active
ACC0061,CUS0018,35181.83,Federal,06/03/2023,Frozen
ACC0062,CUS0001,,Simply,06/01/2023,Frozen
ACC0063,CUS0010,6704.74,Her,24/03/2023,Frozen
ACC0064,CUS0002,0,Society,21/01/2022,Active
ACC0065,CUS0009,16304.56,Glass,07/20/2023,Inactive
ACC0066,CUS0015,27799.28,Him,12/25/2024,Frozen
ACC0067,CUS0010,49418.68,Decision,10-12-2022,Inactive
ACC0068,CUS0013,24104.87,Available,31-07-2022,Active
ACC0069,CUS0013,Five Hundred,Crime,19-07-2022,Frozen
ACC0021,CUS0020,4942.96,Ground,2022-07-12,Inactive
ACC0071,CUS0019,23757.99,She,28/07/2024,FROZEN
ACC0046,CUS0020,,Will,08/06/2023,Active
ACC0073,CUS0005,36728.04,With,14/07/2022,Frozen
ACC0074,CUS0011,47569.01,Bit,2022-11-18,Frozen
ACC0075,CUS0017,35461.51,Gun,08/02/2024,Inactive
ACC0076,CUS0019,7223.9,Fill,05/07/2023,Active
ACC0077,CUS0011,49424.45,Image,04-04-2022,Inactive
ACC0078,CUS0017,25610.9,Year,09-04-2024,Active
ACC0079,CUS0012,44382.49,Necessary,10/05/2024,Frozen
ACC0080,CUS0005,11565.6,Popular,03/02/2024,Inactive
ACC0081,CUS0007,5621.88,Investment,08/08/2024,Active
ACC0082,CUS0020,1961.77,Food,03/22/2023,Inactive
ACC0083,CUS0014,,Give,11/19/2024,Frozen
ACC0084,CUS0009,21928.03,Or,28-04-2024,Inactive
ACC0085,CUS0018,4834.98,Money,14/03/2024,Active
INVALID_94,CUS0005,45249.73,Ball,2022-12-24,Inactive
ACC0087,CUS0003,35541.11,Exist,22/08/2022,Active
ACC0088,CUS0014,19743.62,Order,31/07/2022,Inactive
ACC0089,CUS0013,24840.44,West,18/09/2024,Active
ACC0090,CUS0018,1893.12,Leg,16/01/2024,Frozen
ACC0091,CUS0005,44382.74,Summer,02/05/2022,Active
ACC0092,CUS0015,0,Fear,16-08-2022,Inactive
ACC0093,CUS0010,39643.82,Very,29/08/2024,Active
ACC0094,CUS0019,Twenty Five Thousand,Else,2024-10-25,Frozen
ACC0095,CUS0001,16190.36,Thus,2023-05-16,Active
ACC0096,CUS0003,1562.41,Chance,10/18/2023,Inactive
ACC0097,CUS0020,-3498.69,Page,2023-08-28,Inactive
ACC0098,CUS0004,3884.94,Long,02/16/2024,Active
ACC0099,CUS0004,8600.57,Store,14-05-2024,Active
ACC0100,CUS0003,42541.17,Buy,18/11/2022,Frozen
ACC0101,CUS0001,11638.09,Young,07/09/2024,Frozen
ACC0102,CUS0006,11343.47,Near,04/03/2024,Inactive
ACC0103,CUS0015,11901.6,Pressure,22/12/2023,Inactive
ACC0104,CUS0004,9906.11,Really,30-10-2024,Active
ACC0105,CUS0014,10609.27,City,30-10-2023,Frozen
ACC0106,CUS0017,1819.71,Middle,09/02/2023,Frozen
ACC0107,CUS0010,20590.03,Maintain,2024-02-07,Active
INVALID_58,CUS0018,43124.74,Hotel,02/15/2024,Active
ACC0109,CUS0003,37092.03,Walk,2022-06-17,Inactive
ACC0110,CUS0010,23961.48,Him,10/30/2022,Active
ACC0111,CUS0019,43043.6,Store,09/05/2024,Active
ACC0112,CUS0002,,Option,03-11-2022,Inactive
ACC0002,CUS0012,34597.0,Success,22/12/2024,Inactive
ACC0055,CUS0017,Twenty Five Thousand,Ready,25/02/2024,Active
ACC0115,CUS0015,35957.68,They,2024-04-11,Frozen
ACC0051,CUS0001,5180.95,Indicate,16/05/2022,Inactive
ACC0117,CUS0007,41855.43,Different,05/02/2023,Active
