LoanID,CustomerID,LoanType,LoanAmount,InterestRate,StartDate,Status
LOA0001,CUS0020,Car,32704.08,48756.62,31-10-2023,Response
LOA0002,CUS0004,Personal,36729.83,41699.96,17/08/2022,Month
LOA0003,CUS0005,Personal,32289.92,14223.95,30/09/2023,Price
LOA0004,CUS0007,Education,25399.67,8724.81,03/24/2023,Other
LOA0005,CUS0006,Education,8919.77,4375.55,03/07/2022,Manage
LOA0006,CUS0002,Home,10662.78,27306.61,17-04-2023,Message
LOA0007,CUS9999,Home,28666.52,12459.85,24/07/2022,Onto
LOA0008,CUS0019,CAR,2977.59,39823.31,08/07/2022,Those
LOA0009,CUS0020,Personal,4322.48,49467.57,02-12-2023,Small
LOA0010,CUS0011,Education,35881.58,48915.51,06-11-2022,Trip
LOA0011,CUS0004,Car,32688.18,17577.3,2022-08-07,Rest
LOA0012,CUS0013,Personal,16355.71,14435.82,07-05-2022,Decision
LOA0013,CUS9999,Personal,35542.23,37575.71,11/05/2022,Argue
LOA0014,CUS0010,Car,28063.49,3034.33,04/21/2023,Compare
LOA0015,CUS0005,Car,4143.24,37557.96,21/05/2023,Action
LOA0016,CUS0005,Home,22710.21,16155.01,10/06/2022,Character
LOA0017,CUS0012,Home,37235.36,27212.62,2024-06-01,Heavy
LOA0018,CUS0007,Home,21285.14,37383.79,11/05/2022,Black
LOA0019,CUS0003,Education,27861.29,,28/07/2023,Be
LOA0020,CUS0009,Personal,21313.8,15189.6,04-08-2022,Site
LOA0021,CUS0006,Home,40641.2,45788.42,22/02/2023,Look
LOA0022,CUS0012,car,14092.37,46121.71,19-08-2023,Point
LOA0023,CUS0008,Home,Five Hundred,12921.03,2023-07-20,Factor
LOA0024,CUS0017,Personal,10434.38,15878.16,12/31/2023,Join
LOA0025,CUS0012,Home,44958.77,14831.33,27/06/2024,Under
LOA0026,CUS0020,Car,5855.05,,2024-08-01,Offer
LOA0027,CUS0017,Personal,32505.1,Five Hundred,27/03/2023,Relate
LOA0028,CUS0018,Home,31595.84,12650.42,15/06/2022,Wait
LOA0029,CUS0010,Education,0,5979.42,06/01/2022,Themselves
LOA0030,CUS0018,Car,30101.66,40384.34,07-02-2022,Few
LOA0031,CUS0016,Education,-4606.24,40388.76,2023-06-12,Rather
LOA0028,CUS0013,Education,49779.5,36955.09,2022-12-17,Treat
LOA0033,CUS0014,Home,35412.7,12136.21,2022-12-12,Instead
LOA0034,CUS0017,Home,19940.41,11647.69,06/24/2024,Nor
LOA0035,CUS0009,Education,3672.96,21688.93,18/02/2024,Tell
LOA0036,CUS0012,Education,48312.13,33341.41,23/03/2023,Chair
LOA0037,CUS0020,education,29112.59,Twenty Five Thousand,2023-03-03,Style
LOA0038,CUS0013,education,11807.54,39825.84,06-12-2023,Mind
LOA0039,CUS0009,PERSONAL,13029.41,13274.21,18-08-2022,Program
LOA0040,CUS0011,Personal,48232.11,32012.85,02/06/2024,Foot
LOA0041,CUS9999,Home,20163.2,,21-12-2023,Radio
LOA0042,CUS0002,Personal,23480.6,28260.83,03/24/2023,Simply
LOA0043,CUS0006,Car,Ten Thousand,35887.55,06/24/2022,Arrive
LOA0044,CUS0005,Personal,29863.61,-3639.98,22-09-2022,Western
INVALID_85,CUS0010,Personal,47865.12,,27-11-2024,Drop
LOA0046,CUS0009,car,15074.68,3204.72,02/12/2023,Think
LOA0047,CUS0009,Home,19794.16,32067.18,01/11/2023,Available
LOA0048,CUS0002,Personal,19920.26,12804.49,01/22/2023,Charge
LOA0049,CUS0007,Home,16706.1,6292.94,10/10/2024,Opportunity
LOA0050,CUS9999,car,10700.25,8273.58,2023-07-20,Close
LOA0051,CUS0008,Car,7661.03,49191.01,2024-06-01,Within
LOA0052,CUS0001,Education,4869.27,22885.19,11/26/2022,Point
LOA0053,CUS0016,Car,27862.88,Twenty Five Thousand,24-11-2024,Forget
LOA0054,CUS0007,Home,39563.91,33310.02,2022-09-01,Unit
LOA0055,CUS0020,Home,47345.24,26880.85,2022-08-25,Project
LOA0056,CUS0005,Education,35326.82,27006.25,06/26/2022,Hot
LOA0057,CUS0012,Car,8840.12,42631.15,05-03-2022,Produce
LOA0058,CUS0015,Car,42802.44,31426.78,11-10-2024,Conference
INVALID_67,CUS0006,Personal,25310.15,5007.79,11-12-2024,Book
LOA0060,CUS0014,Home,28209.42,6693.35,2022-11-23,Southern
LOA0061,CUS0005,Education,19734.08,32675.81,21-03-2022,Second
LOA0062,CUS0009,Car,43326.89,26482.56,06/07/2022,Base
LOA0063,CUS0014,Car,3676.28,39188.11,2023-08-30,Clearly
LOA0064,CUS0008,Education,34677.16,18960.51,2024-06-09,Happen
LOA0065,CUS0014,Personal,,,01-01-2023,Ahead
LOA0066,CUS0001,Personal,41727.72,38004.68,02/22/2024,Provide
LOA0067,CUS0012,Home,0,44804.26,25-06-2024,Office
LOA0068,CUS0016,Personal,20347.0,14208.13,11-02-2022,Majority
LOA0069,CUS9999,Home,23803.58,739.51,11/14/2024,Serious
LOA0070,CUS0017,Education,36067.03,20113.03,15-09-2022,Any
LOA0071,CUS0010,Education,0,42807.8,29-09-2024,Where
LOA0072,CUS0005,Education,37546.55,40300.13,05-03-2024,Hotel
LOA0073,CUS9999,Education,4854.37,32248.58,19-10-2024,Lead
LOA0074,CUS0011,Car,14503.43,41894.91,10/29/2024,Industry
LOA0075,CUS0011,Car,12948.3,3171.44,11/05/2023,Authority
LOA0076,CUS0015,EDUCATION,7985.24,5747.05,10/08/2023,Daughter
LOA0077,CUS0013,Car,14717.59,42071.1,02-04-2022,Camera
LOA0078,CUS0010,Education,30099.14,6849.89,2023-02-09,Reason
LOA0079,CUS0005,Car,28586.99,Five Hundred,08/11/2022,Capital
LOA0080,CUS0020,Car,38097.6,22923.07,2024-06-06,Bank
LOA0081,CUS0013,Car,3543.37,13004.37,15/11/2023,Include
LOA0082,CUS0006,Personal,15155.17,47721.25,07-10-2022,Finally
LOA0083,CUS0009,Car,2356.83,18535.69,2022-11-19,Note
LOA0084,CUS0008,Home,24797.49,47351.04,29-10-2024,Create
LOA0085,CUS0010,Education,Five Hundred,5811.47,10/22/2023,Character
LOA0086,CUS0019,Education,-4566.48,6313.77,11/06/2024,Sing
LOA0087,CUS0010,Home,26456.53,36404.13,18-12-2024,Law
LOA0088,CUS0010,Car,44642.1,43757.31,09-01-2023,Story
LOA0089,CUS0010,Home,40798.86,34830.97,06/11/2024,Possible
LOA0090,CUS0009,Personal,11675.57,33659.61,2022-12-03,Agency
LOA0091,CUS0019,Personal,23243.94,0,12-11-2024,Live
LOA0092,CUS0017,Education,12794.65,-654.74,10/25/2022,Authority
LOA0093,CUS0005,Personal,20736.6,17301.58,03/02/2023,Artist
LOA0094,CUS0015,Home,3418.54,38447.42,01/24/2022,Door
LOA0095,CUS0001,Home,36070.13,16632.16,2024-12-02,Prevent
LOA0096,CUS0001,Personal,48074.34,41807.26,27-06-2024,Scientist
LOA0097,CUS0010,Education,4882.11,33553.59,16-03-2024,West
LOA0098,CUS0019,Personal,47409.0,,08/29/2022,Interview
LOA0099,CUS0014,Education,7617.58,19984.83,02-11-2024,Of
LOA0100,CUS0013,Education,6292.58,29067.11,22/03/2023,Prove
LOA0101,CUS0014,Car,9667.53,21465.41,2022-06-28,Debate
LOA0102,CUS0017,Education,25200.6,39408.94,08/24/2022,Receive
LOA0103,CUS0007,Home,7234.48,45737.29,27/01/2024,Face
LOA0104,CUS0011,Home,27849.65,41350.21,05/09/2024,Set
LOA0105,CUS0018,Home,40392.96,42180.79,2024-10-23,Military
LOA0106,CUS0011,Car,8782.94,27818.51,08/31/2024,Choice
LOA0107,CUS0001,home,20023.41,38374.36,2024-02-02,Drop
LOA0108,CUS0011,Personal,,2357.48,07/11/2024,Single
