TxnID|AccountID|TxnDate|Amount|TxnType|Channel|Status
TRA0001|ACC0015|19/11/2023|0|Debit|Too|Reach
TRA0002|ACC0008|11/02/2023|16554.32|Withdrawal|Consumer|Child
TRA0003|ACC0017|12-08-2023|47581.47|Credit|Yeah|Yard
TRA0004|ACC0001|05/07/2023|31208.57|Credit|Official|Realize
TRA0005|ACC0006|2024-01-11|0|WITHDRAWAL|Put|Participant
TRA0006|ACC0003|09/18/2023|34054.62|Withdrawal|So|Message
TRA0007|ACC0017|08/14/2024|21422.28|Credit|However|Fall
TRA0008|ACC0004|08/25/2022|24445.71|Transfer|Instead|Poor
INVALID_30|ACC0005|23/05/2023|24766.86|Credit|Price|Social
TRA0010|ACC0016|16-05-2022|4923.61|credit|Nation|Reality
TRA0011|ACC0013|25/05/2024|41421.47|Credit|Human|Something
TRA0012|ACC0014|05/23/2022|40502.14|Credit|Son|Star
TRA0002|ACC0016|16/10/2024|4045.73|Credit|Series|Piece
TRA0014|ACC0019|2022-01-16|24559.73|Transfer|Fact|Investment
TRA0015|ACC0014|22-04-2024|48450.22|Transfer|Government|Relationship
TRA0016|ACC0018|2022-05-06|21604.49|Withdrawal|Per|Owner
TRA0017|ACC0010|22-09-2023|17569.94|Debit|Focus|Hope
TRA0018|ACC0006|10/03/2022|17692.67|Transfer|Treatment|Yes
TRA0019|ACC0006|02/04/2024|8618.1|Transfer|Body|Color
TRA0020|ACC0014|07/24/2023|49320.62|Withdrawal|Instead|Fill
TRA0021|ACC0006|27/08/2024|32498.75|Debit|Media|Role
TRA0022|ACC0010|22/08/2022|35617.7|Credit|Public|Commercial
TRA0010|ACC0014|22/08/2024|16296.86|Withdrawal|Set|Recent
TRA0024|ACC0004|26-11-2022|48827.94|Debit|Add|Page
TRA0025|ACC0005|27/03/2022|18656.95|Transfer|Too|Member
TRA0026|ACC0010|29/08/2022|44122.01|Credit|Hear|Number
TRA0027|ACC0008|13-07-2022|35286.6|Withdrawal|Pattern|Economy
TRA0028|ACC0016|04/13/2022|38655.72|Withdrawal|Campaign|Approach
TRA0029|ACC0002|14-10-2022|5077.41|Debit|Tax|Contain
TRA0030|ACC0014|2023-04-10|48952.9|Credit|Film|Space
TRA0031|ACC0009|13-08-2022|37801.23|Credit|New|Hot
TRA0032|ACC0011|18-12-2022|15013.98|Transfer|Body|Food
TRA0033|ACC0020|2024-11-25|40770.15|Credit|Major|Bit
TRA0034|ACC0009|01/10/2024|25328.89|Transfer|Knowledge|Direction
TRA0035|ACC0004|2023-10-19|16614.98|Debit|Western|Rule
TRA0036|ACC0007|05/09/2024|2771.22|Credit|Blue|Recently
TRA0037|ACC0016|11-11-2023|27790.84|Credit|Current|Produce
TRA0038|ACC0003|27-11-2024|44916.08|Debit|Teach|Minute
