CourseID,CourseName,Department,Credits,FacultyID
COU0001,Thing,Computer Science,128,FAC0010
COU0002,Against,Business,9999,FAC0017
COU0003,Value,Computer Science,149,FAC0013
COU0004,Possible,Physics,155,FAC0016
COU0005,Thought,Physics,101,FAC0004
COU0006,Treat,Arts,74,FAC0009
COU0007,Each,Mathematics,112,FAC0001
COU0008,Page,Computer Science,87,FAC0020
COU0009,They,Arts,291,FAC0010
COU0010,Grow,Engineering,31,FAC0002
COU0011,Every,Computer Science,292,FAC0002
COU0012,Speak,Business,250,FAC0001
COU0013,Run,Engineering,-1,FAC0015
COU0014,Nothing,Physics,56,FAC0010
COU0015,Citizen,Computer Science,68,FAC0003
COU0016,The,Mathematics,273,FAC0011
COU0017,Mind,Arts,88,FAC0019
COU0018,Speech,Business,77,FAC9999
COU0019,Read,Arts,2,FAC0010
COU0020,Son,Engineering,194,FAC0003
COU0021,Model,Engineering,126,FAC0012
COU0022,Computer,Business,39,FAC0001
COU0023,Factor,Engineering,17,FAC0015
COU0024,Thank,Mathematics,54,FAC0017
COU0025,Should,Arts,73,FAC9999
COU0026,Woman,Business,153,FAC0009
COU0027,View,Mathematics,136,FAC0013
COU0028,Edge,Business,233,FAC0015
COU0029,Happen,Computer Science,233,FAC0014
COU0009,Young,Arts,103,FAC0008
COU0031,Health,Arts,274,FAC0007
COU0032,It,Arts,189,FAC0004
COU0033,Itself,Mathematics,49,FAC0012
COU0034,Lot,Business,290,FAC0016
COU0035,Two,Business,118,FAC0020
COU0036,Quite,Business,10,FAC0020
COU0037,Thank,Computer science,9999,FAC0011
COU0038,Activity,Mathematics,65,FAC0004
COU0039,Girl,Mathematics,68,FAC0012
COU0040,Top,Physics,183,FAC0004
COU0041,Mind,Physics,12,FAC0013
COU0042,Decade,Physics,138,FAC0008
COU0043,Draw,Physics,122,FAC0020
COU0044,Democrat,Mathematics,64,FAC0007
COU0043,Mean,Engineering,32,FAC0010
COU0046,Lot,Engineering,87,FAC0017
COU0047,Book,Arts,73,FAC0019
COU0048,Image,Business,93,FAC0005
COU0049,Process,Engineering,117,FAC0013
COU0050,Just,Engineering,97,FAC0015
COU0051,Him,Business,74,FAC0017
COU0052,Week,Engineering,256,FAC0015
COU0044,Then,Engineering,122,FAC0016
COU0054,Pressure,Computer Science,68,FAC0015
COU0055,Left,Engineering,0,FAC0001
COU0056,The,Business,9999,FAC0011
COU0057,Chance,PHYSICS,229,FAC0008
COU0058,Something,physics,32,FAC0005
COU0059,Ever,Engineering,258,FAC0005
COU0060,One,Computer Science,50,FAC0005
COU0061,Leave,Engineering,283,FAC0010
COU0062,Increase,Engineering,54,FAC0008
COU0063,Blood,Computer Science,13,FAC0018
COU0039,Minute,Mathematics,0,FAC0015
COU0065,Without,Computer Science,19,FAC0005
COU0066,Herself,Physics,233,FAC0008
COU0067,Address,Mathematics,107,FAC0016
COU0068,Pattern,Computer Science,113,FAC0003
INVALID_41,Image,Mathematics,175,FAC0012
COU0070,Value,Physics,52,FAC0020
COU0071,Ok,Engineering,225,FAC0005
COU0072,It,Computer Science,45,FAC0011
COU0073,Life,Mathematics,288,FAC0017
COU0047,Alone,Mathematics,168,FAC0011
COU0075,Their,Business,83,FAC0004
COU0076,Medical,Mathematics,224,FAC0014
COU0077,Sport,Business,80,FAC0019
COU0078,Course,Arts,68,FAC0009
COU0079,Center,Computer Science,81,FAC0004
COU0080,Stock,Engineering,281,FAC0007
COU0081,May,Physics,11,FAC0013
COU0082,Political,BUSINESS,200,FAC0019
COU0083,Time,Computer Science,98,FAC0009
COU0084,Model,Computer Science,95,FAC0013
COU0085,Price,Mathematics,180,FAC0015
COU0086,Idea,Mathematics,236,FAC0004
COU0087,Standard,Engineering,51,FAC0002
COU0088,Pull,Mathematics,188,FAC0013
COU0089,Wide,Engineering,174,FAC0009
COU0090,Also,Engineering,160,FAC0009
INVALID_26,State,Engineering,120,FAC0013
COU0003,Natural,Engineering,267,FAC0001
COU0093,Per,Engineering,244,FAC0001
COU0094,Few,Physics,230,FAC0012
COU0095,Save,Arts,157,FAC0015
COU0096,Art,Engineering,209,FAC0001
COU0097,Country,Engineering,260,FAC0019
COU0098,Myself,Physics,36,FAC0012
COU0099,Parent,Computer Science,173,FAC0019
COU0100,Fear,Business,243,FAC0020
COU0101,Whether,Physics,100,FAC0001
COU0102,Others,Computer Science,212,FAC0019
COU0103,Source,Arts,1,FAC0012
COU0104,Turn,Physics,149,FAC0012
COU0105,Staff,Physics,103,FAC0007
COU0106,Sea,Arts,91,FAC9999
COU0107,Sport,Mathematics,259,FAC9999
COU0108,Right,Computer Science,188,FAC0001
COU0109,Dinner,mathematics,32,FAC0018
COU0110,Book,Computer Science,139,FAC0018
COU0111,Whom,Engineering,18,FAC0007
COU0112,Member,Arts,211,FAC0004
COU0113,Onto,Business,241,FAC9999
COU0114,Control,Physics,139,FAC0019
COU0115,Technology,Mathematics,178,FAC0007
COU0116,There,Physics,168,FAC0016
COU0117,Whatever,Physics,156,FAC0010
COU0118,Treat,ENGINEERING,234,FAC0015
COU0119,Young,Arts,175,FAC0015
COU0003,Girl,Engineering,293,FAC0009
COU0121,Mission,Mathematics,95,FAC0002
COU0122,Moment,Computer Science,139,FAC0005
COU0123,A,Computer Science,128,FAC0009
COU0124,Member,Business,137,FAC0018
COU0125,Beautiful,PHYSICS,86,FAC0015
COU0126,Establish,Arts,7,FAC0009
INVALID_93,Reality,Engineering,27,FAC0010
INVALID_73,Artist,Engineering,125,FAC0005
COU0129,Reach,Computer Science,95,FAC0007
COU0130,Leg,Arts,159,FAC0019
COU0131,Local,Computer Science,170,FAC0004
COU0132,Know,Arts,76,FAC0009
COU0133,Bit,Computer Science,3,FAC0010
COU0134,Feeling,Business,289,FAC0016
COU0135,And,Physics,246,FAC0006
COU0136,Site,Engineering,114,FAC0017
COU0137,Wish,Computer Science,199,FAC0008
COU0138,He,Computer Science,134,FAC0002
COU0139,Election,Computer Science,269,FAC0004
COU0140,Material,Computer Science,23,FAC0004
COU0141,Use,Business,283,FAC0007
COU0142,With,Physics,68,FAC0017
COU0032,Health,Mathematics,215,FAC0014
COU0144,Language,Computer Science,26,FAC0012
COU0145,Set,Computer Science,177,FAC0012
COU0146,There,Computer Science,199,FAC0009
COU0147,Focus,Engineering,85,FAC0009
COU0148,Piece,Engineering,228,FAC0005
COU0149,Top,Engineering,9999,FAC0020
COU0150,Analysis,Mathematics,38,FAC0011
COU0151,Rest,Business,32,FAC0014
COU0152,Agree,Engineering,131,FAC0013
COU0153,Budget,Physics,93,FAC0003
COU0154,Some,Computer Science,158,FAC0014
COU0155,House,Arts,189,FAC0012
COU0156,Rise,Physics,47,FAC0013
COU0157,Military,Physics,45,FAC0009
COU0158,Sing,Business,298,FAC0014
COU0159,Despite,Physics,185,FAC0001
COU0160,Wish,Physics,151,FAC0016
COU0161,Financial,Business,202,FAC0007
COU0162,Audience,Mathematics,261,FAC0004
COU0163,Side,Engineering,59,FAC0004
COU0164,Establish,Business,239,FAC0018
COU0165,Do,Physics,3,FAC0015
INVALID_63,Moment,Mathematics,213,FAC9999
COU0167,Affect,Arts,54,FAC0009
COU0168,Again,Arts,297,FAC0019
COU0169,Top,MATHEMATICS,179,FAC0001
COU0170,Less,Mathematics,66,FAC0017
COU0043,Western,Physics,96,FAC0005
COU0172,Behavior,Arts,278,FAC0018
COU0173,For,Mathematics,144,FAC0003
COU0174,Find,Mathematics,294,FAC0018
COU0175,Boy,Arts,163,FAC0008
COU0176,His,Mathematics,242,FAC0003
COU0177,Indicate,Arts,21,FAC0020
COU0178,Want,Mathematics,42,FAC0009
COU0179,New,Engineering,-1,FAC0018
COU0180,North,Engineering,64,FAC0019
COU0181,Avoid,Physics,48,FAC0012
COU0182,Finish,Mathematics,104,FAC0015
COU0183,Thus,Computer Science,46,FAC0020
COU0184,Wonder,Engineering,266,FAC0018
COU0127,Cell,Business,11,FAC0015
COU0186,Performance,Computer Science,147,FAC0003
COU0187,Officer,COMPUTER SCIENCE,63,FAC0003
COU0188,Thus,Mathematics,137,FAC0016
COU0189,Task,Mathematics,259,FAC0008
COU0190,Trial,Computer Science,269,FAC0017
COU0191,Majority,Mathematics,74,FAC0011
COU0192,Himself,Business,210,FAC0015
COU0193,Sense,Physics,163,FAC0017
COU0194,Plant,Arts,242,FAC0017
COU0195,Available,Mathematics,24,FAC0013
COU0196,Imagine,Engineering,162,FAC0009
COU0197,Seem,Arts,183,FAC0006
COU0198,Seven,Mathematics,87,FAC0002
COU0199,Parent,Physics,88,FAC0018
COU0200,Believe,Computer Science,23,FAC0001
COU0201,Arm,Business,155,FAC0005
COU0202,Foreign,Arts,226,FAC0006
COU0203,Mr,Mathematics,279,FAC0007
COU0204,If,Mathematics,6,FAC0017
COU0205,Because,Physics,190,FAC0011
COU0206,Both,Computer Science,282,FAC0015
COU0207,Her,ENGINEERING,42,FAC0009
COU0208,Wish,Arts,182,FAC0020
COU0209,Media,Engineering,142,FAC0019
COU0210,Miss,Arts,-1,FAC0001
COU0211,Laugh,Arts,267,FAC0009
COU0212,Beautiful,Arts,39,FAC0018
COU0213,Store,Physics,275,FAC0018
COU0214,Common,Engineering,155,FAC0014
COU0215,Foot,Engineering,83,FAC0017
COU0216,Reality,Business,241,FAC0002
COU0217,Condition,Engineering,87,FAC0008
COU0218,Look,Mathematics,211,FAC0014
COU0219,Other,Arts,118,FAC0018
COU0220,Individual,Business,39,FAC0007
COU0221,Young,Business,156,FAC0017
INVALID_22,No,Arts,183,FAC0020
COU0223,Question,Engineering,153,FAC0018
COU0224,Executive,Mathematics,178,FAC0014
COU0173,Goal,Arts,67,FAC0005
INVALID_65,Month,Arts,265,FAC0007
INVALID_32,Room,Arts,81,FAC0011
COU0228,Green,Engineering,34,FAC0002
COU0202,Sit,Business,247,FAC0010
COU0230,Long,Mathematics,195,FAC0005
COU0231,Relate,Arts,223,FAC0016
COU0232,After,Physics,154,FAC0001
COU0233,Scientist,BUSINESS,206,FAC0002
COU0234,Free,Arts,143,FAC0011
COU0235,Than,COMPUTER SCIENCE,211,FAC0012
COU0236,Activity,Physics,184,FAC0003
COU0237,Sing,Business,190,FAC0015
COU0238,Before,Computer Science,291,FAC0003
COU0239,Will,Business,70,FAC0012
COU0240,Add,Mathematics,74,FAC0001
COU0241,Represent,Engineering,282,FAC0017
INVALID_31,Community,Arts,213,FAC0020
COU0243,Something,Computer Science,273,FAC0013
COU0244,Stock,Arts,-1,FAC0015
COU0245,This,mathematics,282,FAC0012
COU0246,Tv,Computer Science,12,FAC0020
COU0247,Point,Physics,279,FAC0001
COU0248,Total,Engineering,51,FAC0006
COU0249,Book,Arts,17,FAC0001
COU0250,Hold,Engineering,127,FAC0013
COU0251,Laugh,Mathematics,112,FAC9999
COU0252,Then,Business,177,FAC0013
COU0253,Boy,Physics,70,FAC0001
COU0254,Think,Engineering,281,FAC0010
COU0255,Else,Engineering,80,FAC0012
COU0256,Ability,Arts,9999,FAC0015
COU0257,Dinner,Arts,286,FAC0020
COU0258,Today,Arts,18,FAC0011
COU0259,Production,Physics,173,FAC0013
COU0115,None,Computer Science,44,FAC0003
COU0261,I,Arts,204,FAC0013
COU0262,Author,Mathematics,61,FAC0014
COU0263,Cause,Arts,170,FAC0007
INVALID_11,Recognize,Engineering,211,FAC0018
COU0265,Finally,Arts,68,FAC0016
COU0266,Knowledge,Engineering,244,FAC0018
COU0267,Inside,Arts,276,FAC0009
COU0268,Decision,Mathematics,25,FAC0009
COU0269,Decision,Engineering,87,FAC0010
COU0270,Forget,Arts,80,FAC0011
COU0271,Because,Engineering,298,FAC9999
COU0272,Station,Computer Science,229,FAC0010
COU0273,Executive,Mathematics,251,FAC0006
COU0274,Service,Computer Science,182,FAC0001
COU0275,What,Arts,10,FAC0011
COU0276,Left,Arts,146,FAC0018
COU0277,Eye,Arts,14,FAC0020
COU0278,This,Physics,189,FAC0017
COU0279,Fast,Physics,16,FAC0019
COU0280,Light,Computer Science,201,FAC0010
COU0281,Resource,Mathematics,220,FAC0002
COU0282,Appear,Engineering,213,FAC0001
COU0283,Loss,Arts,297,FAC0002
COU0284,Glass,Physics,167,FAC0011
COU0285,Both,Engineering,25,FAC0012
COU0286,Business,Mathematics,259,FAC0011
COU0287,Back,Arts,9,FAC0006
COU0288,Go,Engineering,229,FAC0001
COU0289,Discussion,Computer Science,61,FAC0002
COU0290,Activity,Mathematics,282,FAC0006
COU0291,Site,Engineering,144,FAC0003
COU0292,Happy,ENGINEERING,77,FAC0005
COU0293,Dream,Arts,287,FAC0014
COU0294,Push,Physics,229,FAC0019
COU0295,Brother,Physics,196,FAC0014
COU0296,Staff,Arts,8,FAC0018
COU0297,Agent,Mathematics,237,FAC0015
COU0298,Staff,Physics,63,FAC0013
COU0299,Deal,Mathematics,212,FAC0016
COU0300,Treat,Physics,222,FAC0010
COU0301,Finish,Mathematics,175,FAC0004
COU0302,Building,Physics,156,FAC0001
COU0303,Short,Physics,110,FAC0009
COU0304,Power,Computer Science,266,FAC0005
COU0305,Single,Mathematics,134,FAC0012
COU0306,Minute,Arts,166,FAC0010
COU0307,Nor,Engineering,0,FAC0019
COU0271,Production,Mathematics,158,FAC0006
COU0309,Sometimes,Engineering,269,FAC0015
COU0310,Majority,Engineering,0,FAC0014
COU0311,Program,Physics,60,FAC9999
COU0312,Various,Engineering,266,FAC9999
COU0313,City,Mathematics,106,FAC0018
COU0314,Test,Physics,290,FAC0002
COU0315,Both,Arts,23,FAC0002
COU0316,Fact,Mathematics,297,FAC0017
COU0317,Central,Arts,201,FAC0017
COU0318,Himself,Physics,31,FAC0006
COU0319,Future,Business,206,FAC0004
COU0320,Market,Engineering,80,FAC0006
COU0321,Vote,Computer Science,134,FAC0005
COU0322,Manager,Physics,130,FAC0018
COU0323,World,Arts,181,FAC0007
COU0324,Also,Computer Science,132,FAC0017
COU0325,Few,Arts,174,FAC0008
COU0326,Late,Computer Science,72,FAC0008
COU0327,Particular,Business,127,FAC0018
COU0328,Drive,Arts,236,FAC0003
COU0329,Keep,mathematics,266,FAC0014
INVALID_86,Citizen,Engineering,20,FAC0017
COU0331,Business,Physics,38,FAC0018
INVALID_12,Wall,ENGINEERING,9999,FAC0013
COU0333,Recognize,Mathematics,290,FAC0019
COU0334,Respond,Arts,217,FAC0011
COU0335,Sport,computer science,293,FAC0004
COU0336,Themselves,Arts,226,FAC0004
COU0337,Some,Physics,144,FAC0014
COU0338,Kid,Computer Science,229,FAC0014
COU0339,Development,Arts,101,FAC0015
COU0340,Customer,Engineering,264,FAC0008
COU0341,Test,Engineering,17,FAC0002
INVALID_49,Pass,Physics,55,FAC0018
COU0343,Note,Engineering,43,FAC0009
COU0344,Quite,Business,5,FAC0009
COU0345,Pull,Business,233,FAC0010
COU0346,According,Physics,200,FAC0002
COU0347,Economy,COMPUTER SCIENCE,52,FAC9999
COU0348,Level,Computer Science,0,FAC0015
COU0349,Environment,Business,101,FAC0016
COU0174,Hear,PHYSICS,56,FAC0014
COU0222,Back,Mathematics,165,FAC0008
COU0352,Fast,Physics,171,FAC0016
COU0353,For,Engineering,57,FAC0009
COU0354,President,Mathematics,9,FAC0002
COU0355,Think,Business,200,FAC0003
INVALID_54,Become,Arts,238,FAC9999
COU0357,Democratic,Arts,152,FAC0008
COU0358,Need,BUSINESS,45,FAC0011
COU0359,Part,Mathematics,232,FAC0009
COU0360,Subject,Arts,253,FAC0003
COU0361,Keep,Computer Science,251,FAC0013
COU0362,Impact,Physics,272,FAC0012
COU0061,Realize,Engineering,76,FAC0014
COU0213,Newspaper,Mathematics,196,FAC0003
COU0365,Already,Engineering,79,FAC0009
COU0267,Financial,Engineering,207,FAC0001
COU0367,Car,Engineering,7,FAC0015
COU0368,North,Mathematics,173,FAC0015
COU0369,Area,Mathematics,54,FAC0015
COU0370,Site,Computer Science,211,FAC0001
COU0371,Far,Business,34,FAC0016
COU0372,Wall,Physics,0,FAC9999
COU0373,Above,Physics,16,FAC0020
COU0374,Almost,Arts,177,FAC0020
COU0375,Inside,Computer Science,241,FAC0001
COU0376,National,Computer Science,171,FAC0017
COU0377,Act,Business,257,FAC0001
COU0378,Billion,Mathematics,195,FAC0005
COU0379,Size,Arts,285,FAC0011
COU0380,Organization,Computer Science,116,FAC0012
COU0381,Computer,Arts,26,FAC0008
COU0382,Short,Mathematics,158,FAC0001
COU0383,Article,Mathematics,16,FAC0009
COU0384,Hit,PHYSICS,265,FAC0004
COU0385,Environment,Physics,63,FAC0013
COU0386,With,Engineering,100,FAC0001
COU0387,Last,Computer Science,286,FAC0017
COU0388,Parent,Business,203,FAC0005
COU0389,Smile,Mathematics,85,FAC9999
INVALID_74,Campaign,Business,14,FAC0002
COU0391,Run,Mathematics,9999,FAC0001
COU0392,Management,Arts,39,FAC0004
COU0393,Money,Physics,98,FAC0014
COU0394,Voice,arts,232,FAC0012
COU0230,Pay,Engineering,267,FAC0002
COU0396,Mind,Computer Science,109,FAC0002
COU0056,Black,Computer Science,194,FAC0004
COU0398,Various,Arts,299,FAC0010
COU0399,Standard,Computer Science,146,FAC0005
COU0400,Ten,Mathematics,152,FAC0001
COU0401,Sure,Mathematics,233,FAC0006
COU0402,Get,Physics,233,FAC0014
COU0403,Conference,Engineering,29,FAC0003
COU0404,General,Physics,56,FAC0009
COU0405,White,Arts,125,FAC9999
COU0406,Half,Physics,213,FAC9999
COU0407,Stock,Computer Science,289,FAC0013
COU0408,Range,Business,297,FAC0005
COU0409,Speak,Mathematics,76,FAC0006
COU0410,Father,Computer Science,289,FAC0014
COU0411,Agree,Physics,255,FAC0018
COU0412,Nor,Engineering,148,FAC0005
COU0413,Decide,Physics,290,FAC0014
COU0414,Gun,Mathematics,4,FAC0009
COU0415,Idea,Mathematics,189,FAC0004
COU0416,Lead,Engineering,114,FAC0017
COU0417,During,Mathematics,267,FAC0016
COU0418,Soon,Physics,178,FAC0004
COU0419,Both,Engineering,190,FAC0009
COU0420,Particular,Mathematics,252,FAC0015
COU0421,Late,Arts,242,FAC0004
COU0422,Save,PHYSICS,9,FAC0016
COU0423,Agreement,Arts,80,FAC0001
COU0424,Have,Engineering,226,FAC0005
COU0425,Our,Mathematics,258,FAC0016
COU0426,Parent,Physics,159,FAC0011
COU0427,House,Mathematics,256,FAC0010
COU0428,Firm,Computer Science,222,FAC0008
COU0429,Night,Mathematics,4,FAC0006
COU0430,Author,Engineering,137,FAC0008
COU0431,Piece,Computer Science,180,FAC0015
COU0432,Green,Business,17,FAC0004
COU0433,Word,Mathematics,114,FAC0018
COU0434,Until,Physics,82,FAC0017
COU0435,Hit,Physics,80,FAC0014
COU0436,Science,Mathematics,163,FAC0002
COU0437,Service,Physics,210,FAC0008
COU0438,Receive,Business,88,FAC0004
COU0439,Total,Physics,41,FAC0019
COU0440,Baby,Physics,210,FAC0017
COU0441,Specific,Engineering,249,FAC9999
COU0442,Yet,Physics,0,FAC0004
COU0443,House,Mathematics,174,FAC0016
COU0444,Like,Computer Science,92,FAC0001
COU0445,Try,physics,274,FAC0016
COU0446,There,Arts,135,FAC0018
COU0447,Seat,Mathematics,191,FAC0007
COU0448,Take,Computer Science,219,FAC0018
COU0449,Answer,MATHEMATICS,235,FAC0020
COU0450,Catch,Engineering,231,FAC0011
COU0451,Structure,Mathematics,144,FAC0008
COU0452,Especially,Arts,150,FAC0001
COU0453,Day,Arts,72,FAC0015
COU0454,Send,mathematics,124,FAC0003
COU0455,Away,Computer Science,69,FAC0003
COU0456,Team,PHYSICS,52,FAC0006
COU0457,Better,computer science,91,FAC0003
COU0458,Idea,Physics,290,FAC0001
COU0459,Although,Mathematics,36,FAC0011
COU0039,Discover,Business,101,FAC0010
COU0461,Everybody,Computer Science,146,FAC9999
COU0462,Source,Engineering,7,FAC0012
COU0463,Hope,Mathematics,281,FAC0006
COU0464,Career,Computer Science,211,FAC0006
COU0465,Ahead,ARTS,168,FAC0010
COU0466,Find,Computer Science,167,FAC9999
COU0467,Source,Physics,224,FAC0009
COU0468,Cost,Business,149,FAC0010
COU0469,Quite,Physics,26,FAC0007
COU0470,Gas,Engineering,69,FAC0001
COU0471,Appear,Physics,210,FAC0014
COU0472,Republican,Engineering,298,FAC0001
COU0473,Give,Engineering,52,FAC0002
COU0036,Eat,Arts,54,FAC0019
COU0475,Nearly,Mathematics,293,FAC0020
COU0476,Same,Arts,251,FAC0006
COU0477,Rule,Engineering,176,FAC0013
COU0478,Sister,Engineering,166,FAC0006
COU0479,Lose,Mathematics,102,FAC0011
COU0480,Spend,Engineering,118,FAC0001
COU0481,Character,Physics,222,FAC0011
COU0482,Capital,Mathematics,161,FAC0010
COU0483,Early,Business,230,FAC0008
COU0070,Throw,Arts,20,FAC0012
COU0485,Perform,Physics,284,FAC0011
COU0486,General,Arts,140,FAC0001
COU0487,Include,Computer Science,136,FAC0019
INVALID_12,Seem,Computer Science,161,FAC0005
COU0489,Style,Physics,108,FAC0003
COU0490,Upon,Engineering,50,FAC0020
COU0491,Themselves,Mathematics,164,FAC0004
COU0492,Including,Physics,7,FAC0004
COU0493,Situation,Computer Science,81,FAC0018
COU0494,Audience,Physics,16,FAC0012
COU0495,Bag,Business,119,FAC0016
COU0496,International,Mathematics,91,FAC0004
COU0497,Focus,BUSINESS,250,FAC0016
COU0498,College,Computer Science,43,FAC9999
COU0499,Mother,Computer Science,35,FAC0016
COU0500,Room,Physics,51,FAC0011
COU0501,Three,Engineering,14,FAC0013
COU0502,Eye,Computer Science,7,FAC0010
COU0503,Amount,Business,90,FAC0006
COU0504,Rule,Engineering,64,FAC0016
COU0505,Forward,Mathematics,212,FAC0020
COU0506,Lay,Engineering,42,FAC0009
COU0507,Value,Computer Science,103,FAC0006
COU0508,Drug,Business,101,FAC0006
COU0509,Moment,Mathematics,179,FAC0006
COU0510,Either,Business,199,FAC0002
COU0511,Rise,Engineering,284,FAC9999
COU0512,News,Business,65,FAC0010
COU0513,And,Physics,236,FAC0006
COU0514,Production,engineering,23,FAC0006
COU0515,Well,Engineering,149,FAC0016
COU0516,Maybe,Physics,129,FAC0017
COU0293,Let,Business,159,FAC0008
COU0518,Heart,Computer Science,108,FAC0009
COU0519,Majority,Mathematics,90,FAC0015
COU0520,Security,Physics,31,FAC0003
COU0521,Trial,Mathematics,161,FAC0004
COU0522,Mouth,Engineering,284,FAC0020
COU0523,Loss,Engineering,48,FAC0013
COU0524,Build,Computer Science,131,FAC0010
COU0525,Sound,Computer Science,42,FAC0007
COU0526,Film,Engineering,197,FAC0006
COU0527,Cup,Business,291,FAC0016
INVALID_99,Anything,Computer Science,267,FAC0012
COU0529,Action,Computer Science,69,FAC0013
COU0530,Claim,Physics,131,FAC0017
COU0531,Hundred,Engineering,72,FAC0020
COU0532,Reach,Engineering,44,FAC0019
COU0533,Figure,Business,41,FAC0003
COU0534,Truth,Arts,271,FAC0020
COU0535,Win,Arts,282,FAC0013
COU0536,Keep,Physics,104,FAC0015
COU0537,Employee,Engineering,151,FAC0017
COU0538,Lay,Mathematics,55,FAC0019
INVALID_3,White,Business,8,FAC0014
COU0540,Before,Mathematics,0,FAC0008
COU0541,Capital,Physics,78,FAC0006
COU0542,Woman,Arts,87,FAC0009
COU0543,Husband,Mathematics,284,FAC0017
COU0544,Environment,Arts,194,FAC0019
COU0545,Trial,Engineering,213,FAC0018
COU0546,Election,Business,187,FAC0018
COU0547,Share,Computer Science,277,FAC0010
COU0548,First,Engineering,109,FAC0014
COU0549,Price,Mathematics,137,FAC0007
COU0550,Find,Engineering,143,FAC0005
COU0551,Stock,Engineering,29,FAC0002
COU0552,Few,Mathematics,226,FAC0004
COU0553,Beautiful,Mathematics,52,FAC0007
COU0554,Level,Arts,140,FAC0012
COU0555,None,Business,53,FAC0008
COU0556,Win,Business,35,FAC0004
COU0557,Space,Engineering,189,FAC0017
COU0558,Allow,Computer Science,8,FAC0014
COU0559,Fund,Physics,92,FAC0001
COU0560,Few,Arts,241,FAC0019
COU0561,Plant,Physics,227,FAC0014
COU0562,Gas,Arts,157,FAC0015
COU0100,Step,Physics,278,FAC9999
COU0564,He,Arts,143,FAC0008
COU0565,Could,Arts,185,FAC0005
COU0566,Condition,Arts,121,FAC0010
COU0567,Wish,Business,171,FAC0001
COU0568,Teacher,Computer Science,218,FAC0004
COU0569,Hard,computer science,122,FAC0014
COU0570,Wrong,Physics,279,FAC0007
COU0571,Sometimes,Physics,247,FAC0018
COU0572,Reach,Mathematics,-1,FAC0017
COU0573,Difficult,Mathematics,73,FAC0001
COU0574,If,Physics,118,FAC0013
COU0575,Stock,Physics,115,FAC0011
COU0576,Determine,Mathematics,178,FAC0008
COU0577,Thought,Computer Science,149,FAC0015
COU0578,Agent,ENGINEERING,129,FAC0017
COU0579,Say,MATHEMATICS,134,FAC0019
COU0580,Paper,Business,158,FAC0010
COU0581,Most,Computer Science,115,FAC0004
COU0582,Individual,Business,22,FAC0013
COU0583,Others,Physics,89,FAC0003
COU0584,Value,Physics,233,FAC0015
COU0585,Wall,Physics,90,FAC0017
COU0586,Laugh,Computer Science,244,FAC0001
COU0587,Government,ENGINEERING,272,FAC0013
COU0588,Thousand,Computer Science,227,FAC0019
COU0589,Away,Business,238,FAC0012
COU0590,Feeling,Mathematics,5,FAC0014
COU0591,Build,Computer Science,200,FAC0018
COU0592,Learn,Arts,8,FAC0009
COU0593,Happen,Arts,9999,FAC0016
COU0594,Walk,Physics,65,FAC0017
COU0595,Rise,Arts,227,FAC0001
COU0596,Born,Mathematics,220,FAC0002
COU0416,She,Mathematics,55,FAC0018
COU0598,Eat,Mathematics,164,FAC0004
COU0599,Laugh,Mathematics,225,FAC0018
COU0600,Half,Computer Science,170,FAC0013
COU0601,Support,Mathematics,208,FAC9999
COU0602,Could,Engineering,271,FAC0016
COU0603,Power,Arts,300,FAC0002
COU0604,Way,Computer Science,47,FAC0004
COU0605,Region,Physics,165,FAC0009
INVALID_52,Avoid,Engineering,11,FAC0007
COU0247,Behind,Mathematics,212,FAC0018
INVALID_6,See,Physics,173,FAC0009
COU0609,Believe,Physics,145,FAC0017
COU0610,Mean,Mathematics,99,FAC0004
COU0611,Single,Engineering,66,FAC0009
COU0612,Black,physics,7,FAC0006
COU0613,Myself,Physics,45,FAC0005
COU0614,Job,Physics,78,FAC0006
COU0615,Field,Mathematics,78,FAC0009
COU0616,Season,ARTS,155,FAC0019
COU0617,Guess,Engineering,269,FAC0020
COU0618,So,Mathematics,300,FAC0001
COU0619,Treat,Engineering,199,FAC0010
COU0620,Table,Business,197,FAC0019
INVALID_33,Like,Computer Science,111,FAC0006
COU0259,Red,Engineering,223,FAC0003
COU0623,Game,Engineering,60,FAC9999
COU0624,Avoid,Computer Science,192,FAC0008
