ExamID|StudentID|CourseID|ExamDate|Score|Grade|Status
EXA0001|STU0008|COU0006|09-11-2022|47130.94|F|Clear
EXA0002|STU0009|COU0009|09-06-2024|9748.03|D|Week
EXA0003|STU0020|COU0019|2024-12-08|49046.44|D|Support
EXA0004|STU0020|COU0013|28/08/2024|29085.96|B|Scientist
EXA0005|STU0012|COU0020|05/09/2022|1917.95|D|Discussion
EXA0006|STU0007|COU0011|04/09/2023|5735.29|D|Born
EXA0007|STU0018|COU0003|09-05-2023|29347.08|A|Kitchen
EXA0008|STU0004|COU0004|05-12-2023|41684.78|A|Himself
EXA0009|STU0014|COU0017|2022-07-17|8081.1|F|Almost
EXA0010|STU0003|COU0017|2022-03-21|39185.26|C|She
EXA0011|STU0017|COU0014|2022-01-13|3919.65|C|Answer
EXA0012|STU0018|COU0018|03-06-2022|26709.05|B|Various
EXA0009|STU9999|COU0004|2023-10-23|15106.97|F|Different
EXA0014|STU0003|COU0015|17/05/2024|4212.19|C|Field
EXA0015|STU0013|COU0007|09/01/2024|45111.38|F|Sister
EXA0016|STU0014|COU0001|29-04-2022|48033.85|D|Article
EXA0017|STU0015|COU0005|10-11-2024|40248.21|A|Area
EXA0018|STU0001|COU0014|27/07/2024|0|F|Rule
EXA0019|STU0013|COU0014|10-05-2023|22893.54|C|Scene
EXA0020|STU0015|COU0004|03/14/2022|39317.05|C|Know
EXA0021|STU0008|COU0008|2023-12-06|45941.84|D|Model
EXA0022|STU0014|COU0010|31/03/2024|26767.61|D|Way
EXA0023|STU0013|COU0001|30/11/2024|Ten Thousand|B|Rule
EXA0024|STU0009|COU0007|01/19/2023|21629.24|F|Market
EXA0025|STU0004|COU0020|15/06/2023|17558.22|C|Car
EXA0026|STU0005|COU0008|12/09/2024|16312.88|a|Learn
EXA0027|STU0020|COU0020|2023-02-23|-3016.45|F|Choice
EXA0028|STU0002|COU0009|10/02/2024|5202.2|A|Democrat
EXA0019|STU0013|COU0001|2022-05-21|40621.71|B|Church
EXA0030|STU0002|COU0003|31-08-2023|28843.28|F|Wrong
INVALID_71|STU0007|COU0001|2022-02-01|34248.19|F|Site
EXA0032|STU0014|COU0017|2023-09-24|45384.55|D|Condition
EXA0033|STU0019|COU0012|2024-01-02|2094.54|C|Focus
EXA0034|STU0010|COU9999|23-04-2023||D|Building
EXA0035|STU0015|COU0008|2023-08-22|8645.04|C|Hotel
EXA0036|STU0020|COU0014|03-01-2023|25329.92|D|Though
EXA0037|STU0018|COU0010|31-07-2022|16093.37|F|Field
EXA0038|STU0012|COU9999|27-02-2022|-1719.82|D|Congress
EXA0039|STU0014|COU0004|2024-07-18|17203.72|C|Skin
EXA0040|STU0016|COU0006|2022-10-19|23041.26|A|Stand
EXA0041|STU0010|COU0002|19-07-2024|24005.08|C|Discussion
EXA0042|STU0008|COU0001|05/21/2022|33300.62|D|One
EXA0043|STU0007|COU0010|16/08/2024|46251.51|C|Base
EXA0044|STU0011|COU0019|06-12-2023|23157.54|A|Move
EXA0045|STU0005|COU0001|09/09/2024|31531.57|D|Thousand
EXA0046|STU0005|COU0010|01/08/2022|30694.82|F|Trouble
EXA0047|STU0014|COU0011|07/31/2022|18124.79|C|Four
EXA0048|STU0012|COU0012|20-09-2022|35227.32|A|How
EXA0049|STU0011|COU0005|2022-06-23|39083.99|C|Mother
EXA0050|STU0013|COU0014|2023-04-05|7876.65|C|Up
EXA0051|STU0006|COU0015|13/08/2024|1702.47|F|Community
EXA0052|STU0018|COU0015|06/22/2024|0|B|Job
EXA0053|STU0003|COU0019|01/09/2024|-4372.49|B|Accept
EXA0054|STU0004|COU0004|16/05/2024|12155.95|A|Form
EXA0055|STU0006|COU0012|22/02/2024|30705.88|D|Activity
EXA0056|STU0017|COU0012|2024-09-20|-2051.93|B|Recognize
EXA0057|STU0005|COU0017|09/08/2024|-2591.92|A|Low
EXA0058|STU0015|COU0004|2023-09-21|17507.96|D|Role
EXA0059|STU0012|COU0011|2023-01-12|-3699.65|F|Future
EXA0060|STU0019|COU0006|2022-11-20|0|D|Money
EXA0061|STU0018|COU0010|16-08-2024|32955.35|A|Face
EXA0062|STU0005|COU0020|07/17/2023|21252.51|A|Smile
EXA0063|STU0019|COU0010|06/02/2024|0|C|Ahead
EXA0064|STU0019|COU0003|27/09/2024|-4349.41|C|Film
EXA0065|STU0019|COU0018|04/04/2023|2018.07|D|Remember
