HospitalID,HospitalName,Location,Capacity
HOS0001,Safe,CHENNAI,122
HOS0002,Trip,Mumbai,104
HOS0003,Mean,Chennai,272
HOS0004,International,Mumbai,185
HOS0005,Population,Bangalore,215
HOS0006,Current,Delhi,197
HOS0007,Bed,Hyderabad,236
HOS0008,Win,Chennai,275
HOS0009,Health,Mumbai,65
HOS0010,Crime,Mumbai,43
HOS0011,On,Hyderabad,109
HOS0012,Call,Hyderabad,241
HOS0013,Amount,Mumbai,96
HOS0014,School,Bangalore,270
HOS0015,Whatever,Bangalore,183
HOS0016,Morning,Mumbai,275
HOS0017,Shake,Mumbai,43
HOS0018,Other,Chennai,123
INVALID_47,Begin,Mumbai,138
HOS0020,Hot,Chennai,244
HOS0021,Wear,Chennai,232
HOS0022,Appear,Hyderabad,231
HOS0023,Food,Chennai,295
HOS0024,Culture,Hyderabad,234
HOS0025,Able,Mumbai,70
HOS0026,Less,Delhi,9999
HOS0027,Sort,Hyderabad,9
HOS0028,Attorney,Chennai,69
HOS0029,Board,Chennai,9999
HOS0030,Tv,Chennai,272
HOS0031,Threat,Mumbai,295
HOS0032,Spring,Delhi,191
HOS0033,Sea,Hyderabad,212
HOS0034,Already,Delhi,60
HOS0035,Determine,Delhi,13
HOS0036,Total,Delhi,264
HOS0037,To,Bangalore,39
HOS0038,Almost,CHENNAI,299
HOS0039,Sister,Bangalore,190
HOS0040,Just,Delhi,32
HOS0041,Answer,Delhi,287
HOS0042,Consumer,Bangalore,219
HOS0043,Plant,Hyderabad,103
HOS0044,Total,Delhi,115
HOS0045,Hard,Mumbai,42
HOS0046,Against,Delhi,103
HOS0047,Beyond,Bangalore,288
HOS0048,Protect,Chennai,52
HOS0049,Like,Delhi,0
HOS0050,Tonight,Delhi,99
HOS0051,Answer,Mumbai,260
HOS0052,Relationship,Hyderabad,108
HOS0053,Sound,Bangalore,294
HOS0054,Cold,Hyderabad,46
HOS0055,Open,Mumbai,203
HOS0056,Age,Bangalore,138
HOS0057,Several,Hyderabad,4
HOS0058,Material,Bangalore,229
HOS0059,History,Delhi,148
HOS0060,Gas,Hyderabad,1
HOS0061,Newspaper,Bangalore,248
HOS0062,Her,Delhi,138
HOS0063,Out,Bangalore,136
HOS0064,Ability,Mumbai,264
HOS0065,Team,Delhi,208
HOS0066,Trip,Mumbai,254
HOS0067,Spring,delhi,177
HOS0068,Friend,Delhi,223
HOS0057,Look,Mumbai,276
HOS0070,Rise,Hyderabad,86
HOS0071,Strategy,Chennai,225
HOS0072,Future,Hyderabad,212
HOS0061,Front,Delhi,67
HOS0074,Watch,Mumbai,163
HOS0075,Care,Bangalore,196
HOS0076,Station,Delhi,151
HOS0077,Open,mumbai,28
HOS0078,Art,Hyderabad,250
HOS0079,Travel,Delhi,53
HOS0080,Decade,bangalore,205
HOS0081,Behavior,Bangalore,219
HOS0082,Program,Mumbai,183
HOS0083,Bag,Hyderabad,70
HOS0084,Yeah,Mumbai,13
HOS0085,Put,Bangalore,275
HOS0086,Smile,Bangalore,47
HOS0087,Field,Delhi,187
HOS0088,Yet,Mumbai,59
HOS0089,Bad,Mumbai,83
HOS0090,Sense,Hyderabad,289
HOS0091,Election,Hyderabad,271
HOS0092,Lawyer,hyderabad,1
HOS0060,Ground,Bangalore,101
HOS0094,Score,Hyderabad,246
HOS0095,Discover,Mumbai,95
HOS0096,Usually,Hyderabad,103
HOS0097,Through,Delhi,164
HOS0098,Establish,Mumbai,9999
HOS0099,Person,Mumbai,270
HOS0100,Machine,Bangalore,189
HOS0014,Deep,Hyderabad,14
HOS0102,Computer,Hyderabad,195
HOS0103,Learn,Delhi,133
HOS0104,Require,Hyderabad,77
HOS0105,My,Bangalore,137
HOS0106,Pull,Hyderabad,273
HOS0107,Current,Bangalore,88
HOS0108,Safe,Hyderabad,209
HOS0109,Attention,Chennai,288
HOS0110,Concern,Chennai,258
HOS0111,Apply,Mumbai,153
HOS0112,Relationship,Bangalore,248
HOS0113,Clearly,Chennai,9
HOS0114,Fly,Bangalore,166
