ClaimID|PolicyID|ClaimDate|ClaimAmount|ApprovedAmount|Status|Reason
CLA0001|POL0007|30/01/2022|31472.49|Death|Blue|Illness
CLA0002|POL0003|18-09-2024|10311.37|Illness|Wear|Accident
CLA0003|POL9999|01/21/2023|14902.57|Property Damage|Foot|theft
CLA0004|POL0003|05/12/2022|45633.8|Accident|Contain|Property Damage
CLA0005|POL0002|30/07/2022|30791.98|Theft|Health|Accident
CLA0006|POL0006|20/01/2022|20917.58|Death|Maintain|Theft
CLA0007|POL0006|2024-11-21|12623.04||Six|Death
CLA0008|POL0002|17/06/2024|6859.01|Property Damage|Rich|Property Damage
CLA0009|POL0018|2023-08-19|18246.9||Individual|Theft
CLA0010|POL0007|06/19/2022|16478.48||Bed|Illness
CLA0011|POL0020|10-03-2022|42368.35|Illness|Husband|Illness
CLA0012|POL0003|11/29/2022|43440.32|Illness|Purpose|Accident
CLA0013|POL0007|2024-12-02|8071.51|Death|Mind|Illness
CLA0014|POL0011|2022-02-20|19917.58|Property Damage|Director|Death
CLA0015|POL0009|12/09/2022|40940.08|Death|Rule|Illness
CLA0016|POL0010|08/05/2022|13353.56|Property Damage|List|Property Damage
CLA0017|POL0018|2024-10-27|13971.49|Property Damage|Into|Theft
CLA0018|POL0005|01/04/2024|30962.99|Property Damage|Gas|Property Damage
CLA0019|POL0013|12/26/2024||Accident|Late|Property Damage
CLA0020|POL0017|11-10-2022|29683.97|Accident|Kind|Theft
CLA0021|POL0013|05-10-2022|34762.13|Accident|Relationship|Death
CLA0022|POL0006|2023-09-07|9242.8|Theft|Whatever|Property Damage
CLA0023|POL0001|03/13/2022|-2633.76||Get|Death
CLA0024|POL0012|10/03/2023|46379.38|Property Damage|So|Theft
CLA0025|POL0017|27/09/2024|19978.64|Accident|Grow|Death
CLA0026|POL0015|16-04-2022|19622.38|Illness|Name|Theft
CLA0027|POL0002|12/25/2023|39341.55|Illness|Man|Death
CLA0028|POL0019|2024-08-08|31920.17|Death|Attention|Illness
CLA0029|POL0002|04-08-2023|7898.84|Death|Grow|Theft
CLA0030|POL0017|2023-12-09|-4047.78|Property Damage|Thousand|Accident
CLA0031|POL0012|2022-10-14|1899.3||Car|Theft
CLA0032|POL0004|05/12/2024|Twenty Five Thousand|Property Damage|Old|Accident
CLA0033|POL0017|01/01/2024|5081.43|Illness|Top|Accident
CLA0034|POL0015|02/05/2022|25194.72|Illness|Nice|Theft
CLA0035|POL0016|10/18/2022||Theft|Cell|Illness
CLA0036|POL0016|26/10/2022|3549.11|Illness|Paper|Accident
CLA0037|POL0019|11/06/2023|46322.57|Death|Age|Death
CLA0038|POL0020|01/17/2024|26878.26||Medical|Theft
CLA0039|POL0019|05/13/2023|38484.74|Accident|Expert|Accident
CLA0040|POL0011|26/02/2024|11069.3|Theft|Continue|Property Damage
CLA0041|POL0019|03-05-2024|11131.44|Accident|Agent|Death
CLA0042|POL0002|01/19/2024|1514.51|Accident|Director|Illness
CLA0043|POL0013|24/12/2023|32522.91|Theft|Other|Death
CLA0044|POL0020|2023-10-24|42330.57|Death|Lay|illness
CLA0045|POL0002|03/31/2022|6086.91|Death|Indeed|Illness
CLA0007|POL0003|06/06/2022|14039.07|Death|Key|PROPERTY DAMAGE
CLA0047|POL0006|14/12/2023|0|Illness|After|Property Damage
CLA0048|POL0002|05/11/2024|Five Hundred|Illness|Decade|Accident
CLA0049|POL0016|2022-03-06|29343.26|Theft|Treatment|Property Damage
CLA0050|POL0013|01/23/2023|25468.52|Accident|Control|Death
CLA0051|POL0020|17/08/2022|33914.8|Death|Why|Death
CLA0052|POL0002|07/22/2022|31875.77|Property Damage|Your|Accident
CLA0053|POL0010|01/16/2022|34413.29|Accident|Population|Property Damage
CLA0054|POL0014|2023-09-07|37964.17|Illness|Create|Theft
CLA0055|POL0004|2023-11-03|2939.47|Property Damage|Staff|Accident
