PolicyID,CustomerID,PolicyType,PremiumAmount,StartDate,EndDate,Status
POL0001,CUS0006,Life,5530.38,05-10-2022,2024-10-24,Election
POL0002,CUS0008,Motor,32970.62,06/18/2024,20/08/2022,List
POL0003,CUS0011,Motor,23330.62,2022-05-18,28/05/2023,Arm
POL0004,CUS0014,Health,18423.98,2024-09-10,09/10/2022,Expert
POL0005,CUS0013,Motor,27963.18,11/10/2022,03/02/2022,Detail
POL0006,CUS0003,Property,20369.76,16/11/2022,07/10/2022,Participant
POL0007,CUS0001,PROPERTY,44536.72,2024-12-14,09/15/2023,Maybe
POL0008,CUS0017,Health,18677.18,07/18/2023,2023-08-30,Father
INVALID_99,CUS0017,Motor,40610.53,01/01/2022,14-07-2022,Wrong
INVALID_70,CUS0005,Motor,12874.35,06/01/2022,03-09-2022,Front
POL0011,CUS0013,Property,10016.88,05/09/2022,24/06/2022,Take
POL0012,CUS0010,Health,12451.08,2023-11-19,2024-01-14,Artist
POL0013,CUS0004,Life,18344.17,02/02/2023,15/05/2022,Member
POL0014,CUS0018,Life,24479.99,08/24/2023,18/11/2024,May
POL0015,CUS0010,Motor,3670.91,2022-07-29,12/04/2023,Dog
POL0016,CUS0009,Property,35289.76,04/06/2024,06/03/2023,Conference
POL0017,CUS0020,Motor,33199.02,15-07-2023,11-04-2024,Truth
POL0018,CUS0013,Health,25129.8,08/11/2024,15-05-2022,Body
POL0019,CUS0003,Health,23230.13,12/15/2023,2024-02-03,Rich
POL0020,CUS0001,Health,,10/15/2022,14/10/2022,Quite
POL0021,CUS0005,PROPERTY,36976.35,01-10-2023,01-03-2023,Unit
POL0022,CUS0003,Health,16022.36,2024-03-11,2024-06-10,Responsibility
POL0023,CUS0002,Health,41504.72,22/06/2022,2024-12-28,Imagine
POL0024,CUS0008,Motor,47786.61,2024-04-11,2023-08-13,Industry
POL0025,CUS0003,Health,1874.02,01/04/2024,2024-11-13,Industry
POL0026,CUS0013,Property,41189.47,04/20/2023,07-03-2024,Assume
POL0027,CUS0015,Health,,01/27/2022,18/05/2023,Could
POL0028,CUS9999,Property,6468.41,11/20/2022,29/05/2023,Last
POL0029,CUS0013,Property,24465.99,11/05/2023,03/03/2022,Improve
POL0030,CUS0009,Health,39184.4,2024-03-14,02/11/2024,Strong
POL0031,CUS0015,Health,26333.09,29-03-2023,2024-09-25,Finish
POL0032,CUS0015,Health,39209.24,23/10/2022,12/01/2022,Professor
POL0033,CUS0003,Property,,06-12-2022,06/11/2023,Fine
POL0034,CUS0004,Property,Five Hundred,03/15/2022,2023-07-21,Leg
