RouteID|Origin|Destination|DistanceKM|EstimatedHrs|RouteType
ROU0001|Many|Expect|-4699.87|Five Hundred|Mixed
ROU0002|World|Us|17696.28|43890.95|City
ROU0003|Sometimes|Commercial|6910.51||highway
ROU0004|Reflect|Everything|32916.57|12146.24|MIXED
ROU0005|Security|Oil|39020.98|11867.79|Mixed
ROU0006|Finish|Money|1341.51|20924.02|City
ROU0007|Reach|Suddenly|Ten Thousand|32352.63|Mixed
ROU0008|Design|Song|5665.53|17639.79|City
ROU0009|Nature|Sometimes|5351.96|34567.08|City
ROU0010|Deep|Available|13718.74|36188.25|Mixed
ROU0011|To|Case|28289.35|26810.13|City
ROU0012|See|Establish|21340.38|37011.18|Highway
ROU0013|Action|Nearly|10625.84|9194.41|City
ROU0014|Energy|Almost|16028.11|31556.84|Mixed
ROU0015|Prevent|Every|28980.58|38548.73|MIXED
ROU0016|Once|Tonight|25814.43|45047.2|Highway
ROU0005|Smile|They|20479.39|30877.34|Highway
ROU0018|General|Yet|0|40742.16|Mixed
ROU0019|Right|Education|20157.39|Twenty Five Thousand|Mixed
ROU0020|Impact|Should|35998.85|17901.4|Mixed
ROU0021|Race|Leg|32199.54|38375.08|City
ROU0022|Can|Election|13596.15|45556.6|mixed
ROU0023|Spring|Give|35869.69|19570.1|Mixed
ROU0024|Suggest|May|29988.5|1985.11|Highway
ROU0025|Very|Nothing|30145.62||City
ROU0002|Represent|Mention|-665.97|-3289.73|City
ROU0027|Approach|Ago|9432.04|15528.99|Highway
ROU0028|Then|Son|2508.87|26597.57|Mixed
ROU0029|Will|I|6818.72|11086.54|Highway
ROU0030|Story|Drive|35052.78|22232.4|Highway
ROU0031|Must|Attack|||Mixed
ROU0032|Before|Eat||31147.34|Mixed
ROU0033|Week|Side|7462.86|5476.16|City
ROU0034|Policy|Position|3044.14|16336.8|Highway
ROU0035|Thing|Simple|7992.69|41634.04|Highway
ROU0036|Put|Family|10861.98|2060.86|Highway
ROU0019|Material|Movement|20188.03|7886.02|Mixed
ROU0038|Detail|Writer||39897.26|Mixed
ROU0039|The|Lay|28480.48|10620.56|City
ROU0040|Happen|Message|0|44727.17|Highway
ROU0041|Other|Point|12714.44|1981.01|Highway
ROU0042|Candidate|Parent|22101.51|22715.75|Highway
ROU0043|Carry|Company|0|44337.83|Mixed
ROU0044|Human|Drug|43301.36|45150.74|City
ROU0045|Available|Which|19348.13|30222.37|Highway
ROU0046|Newspaper|Reason|32240.25|49862.95|Mixed
ROU0047|Suffer|Spend|Twenty Five Thousand|1751.5|Highway
INVALID_78|Social|Blood|11158.22||City
ROU0049|Price|Executive|35355.97|6696.14|Mixed
ROU0050|Whose|Civil|8015.92|3945.53|City
ROU0051|Tv|Top|Five Hundred|8976.72|Highway
ROU0052|Themselves|Agree|49185.16|7903.04|MIXED
ROU0053|Remember|Sort|0|309.51|Highway
ROU0054|Deal|Recent|8694.21|29910.66|Mixed
ROU0055|Me|Election|20774.13|8087.73|Highway
ROU0056|Near|Dinner|28023.44|8609.77|Mixed
ROU0057|Arm|New|32684.0|26600.53|City
