ShipmentID,DriverID,WarehouseID,Origin,Destination,ShipmentDate,DeliveryDate,Weight,Cost,Status,ExtraColumn
SHI0001,DRI0012,WAR0019,Hotel,Visit,21/02/2024,10/12/2023,27821.3,18694.38,Cancelled,EXTRA_DATA
SHI0002,DRI0010,WAR0011,Likely,Above,2023-03-20,09-08-2022,46324.95,0,Delayed,EXTRA_DATA
SHI0003,DRI0005,WAR0018,Government,Able,03/08/2023,27/04/2022,954.87,47644.87,Delivered,EXTRA_DATA
SHI0004,DRI0003,WAR0012,Blood,Matter,27/07/2022,09/06/2024,3577.99,Twenty Five Thousand,Delivered,EXTRA_DATA
SHI0005,DRI0018,WAR0009,Region,Lose,12/11/2024,2022-09-24,45018.45,44150.33,Cancelled,EXTRA_DATA
SHI0006,DRI0003,WAR0014,Party,Father,03/05/2022,25-05-2023,-4702.89,25273.31,In-Transit,EXTRA_DATA
SHI0007,DRI0010,WAR0007,Picture,Leader,05/13/2024,2023-11-04,1291.89,38726.92,Cancelled,EXTRA_DATA
SHI0008,DRI0008,WAR0003,Bag,Then,13-06-2023,,2111.69,40535.32,In-Transit,EXTRA_DATA
SHI0009,DRI0007,WAR0013,Up,Than,21/03/2023,2022-03-03,31370.22,29990.06,Cancelled,EXTRA_DATA
SHI0003,DRI0008,WAR0009,Situation,Discuss,07-05-2022,2023-07-21,14863.8,13437.13,In-Transit,EXTRA_DATA
SHI0011,DRI0008,WAR0012,Ten,Only,13/09/2022,04/16/2024,18141.52,28372.16,Delayed,EXTRA_DATA
SHI0012,DRI0015,WAR0015,As,Them,29-12-2023,12-11-2024,49568.69,20240.22,Cancelled,EXTRA_DATA
SHI0013,DRI9999,WAR0016,Effect,Quickly,05/06/2024,01-12-2023,,37154.99,Cancelled,EXTRA_DATA
SHI0014,DRI0019,WAR0014,Series,Suddenly,2023-11-30,09-08-2023,36973.03,Five Hundred,Cancelled,EXTRA_DATA
SHI0015,DRI0010,WAR0003,Change,Onto,06/08/2023,2023-08-18,29942.79,34272.23,Delayed,EXTRA_DATA
SHI0016,DRI0013,WAR0010,Effort,Less,01/22/2023,2022-11-14,42185.93,13483.07,In-Transit,EXTRA_DATA
SHI0017,DRI0006,WAR0003,Industry,Significant,09/16/2024,2023-05-17,Twenty Five Thousand,6081.85,Delayed,EXTRA_DATA
SHI0018,DRI0010,WAR9999,Hear,Evidence,12/01/2024,20-02-2023,24411.75,22322.66,In-transit,EXTRA_DATA
SHI0019,DRI0006,WAR0012,Trial,Hold,06/10/2023,26/07/2023,-1163.71,,In-Transit,EXTRA_DATA
SHI0020,DRI0014,WAR0008,Face,Worry,08-03-2024,2023-05-07,24702.82,17132.82,In-Transit,EXTRA_DATA
SHI0021,DRI0004,WAR0009,Modern,Benefit,2022-04-26,08/22/2023,0,5878.13,In-Transit,EXTRA_DATA
SHI0022,DRI0008,WAR0009,That,Man,11/14/2024,09/13/2023,45479.82,11905.77,DELAYED,EXTRA_DATA
SHI0023,DRI0008,WAR0020,Society,Think,26-02-2024,03/03/2022,33149.87,5156.95,In-Transit,EXTRA_DATA
SHI0024,DRI0006,WAR0012,Thing,Traditional,12/23/2024,13/03/2022,8449.53,13665.11,Delivered,EXTRA_DATA
SHI0025,DRI0019,WAR0010,Drug,Else,23/07/2023,08-03-2024,35543.27,12261.14,Delayed,EXTRA_DATA
SHI0026,DRI0007,WAR0004,Mrs,Especially,14-02-2022,10/02/2024,36967.89,34237.65,Delivered,EXTRA_DATA
SHI0027,DRI0003,WAR0004,Lose,Stay,04/21/2024,2024-04-18,27272.28,25649.29,Delivered,EXTRA_DATA
SHI0028,DRI0002,WAR0012,Yeah,Friend,12/11/2023,08-03-2023,16936.96,30877.77,In-Transit,EXTRA_DATA
SHI0029,DRI0018,WAR0002,Finally,Go,2022-10-30,2023-01-21,47180.24,40917.8,Cancelled,EXTRA_DATA
SHI0030,DRI0004,WAR0011,Figure,She,01/12/2024,19-03-2023,33596.56,37801.8,DELAYED,EXTRA_DATA
SHI0031,DRI0009,WAR0012,As,Find,09/09/2023,07-01-2023,15675.07,20860.5,Delivered,EXTRA_DATA
SHI0032,DRI0015,WAR0002,Hard,Form,29/08/2022,08/17/2022,29889.93,28164.51,Delivered,EXTRA_DATA
SHI0033,DRI0005,WAR0003,Answer,Physical,01/30/2023,22/07/2024,31430.12,1123.93,CANCELLED,EXTRA_DATA
SHI0034,DRI0018,WAR0011,Table,Food,30/09/2023,,18782.65,,Delivered,EXTRA_DATA
SHI0035,DRI0007,WAR0020,Big,Spend,11/11/2023,2022-02-23,32383.71,24591.75,In-Transit,EXTRA_DATA
SHI0036,DRI0011,WAR0017,Draw,Agreement,05/06/2023,2022-06-04,13452.9,,In-Transit,EXTRA_DATA
SHI0037,DRI0015,WAR0001,Want,Adult,04-08-2023,08-05-2023,32772.18,3096.84,Delivered,EXTRA_DATA
SHI0038,DRI0008,WAR0018,Fight,Tend,04-07-2022,2022-04-01,2562.94,11908.66,In-Transit,EXTRA_DATA
SHI0039,DRI0003,WAR0004,End,Public,27-12-2023,,-2345.28,32746.85,Delayed,EXTRA_DATA
SHI0040,DRI0003,WAR0014,Try,Probably,05-09-2024,05/04/2024,35217.32,40450.81,Delivered,EXTRA_DATA
SHI0041,DRI0015,WAR0007,Should,Job,07/29/2022,2023-08-24,31867.31,-3285.61,Delayed,EXTRA_DATA
INVALID_5,DRI0011,WAR0001,Public,Certainly,11/27/2023,,5448.6,43817.99,Delivered,EXTRA_DATA
