WarehouseID,Location,Capacity,CurrentStock,Manager
WAR0001,Mumbai,51,168,Because
WAR0002,Chennai,122,139,Trial
WAR0003,Hyderabad,223,209,Building
WAR0004,Chennai,67,40,West
WAR0005,Hyderabad,108,158,Teach
WAR0006,Bangalore,43,129,Student
WAR0007,Delhi,155,68,Only
WAR0008,Mumbai,7,187,Life
WAR0009,Hyderabad,32,280,Former
WAR0010,Chennai,92,49,Population
WAR0011,Mumbai,106,227,And
WAR0012,Bangalore,184,193,Small
WAR0013,Delhi,131,4,Majority
WAR0014,Mumbai,219,95,Me
WAR0006,chennai,190,86,Main
WAR0016,Bangalore,89,231,Himself
WAR0017,Bangalore,276,144,Not
WAR0018,Hyderabad,292,174,Ball
WAR0019,Hyderabad,185,247,Important
WAR0020,Mumbai,235,257,Themselves
WAR0021,Mumbai,199,165,About
WAR0022,Delhi,297,119,Man
WAR0023,Bangalore,111,189,Open
WAR0024,Bangalore,183,204,Front
WAR0025,Chennai,242,8,Opportunity
WAR0026,Chennai,43,55,Property
WAR0027,Mumbai,63,116,Strong
WAR0028,Bangalore,-1,4,Even
WAR0029,Mumbai,45,172,Look
WAR0030,Mumbai,227,232,Political
WAR0031,Delhi,282,153,Wonder
INVALID_98,Chennai,67,272,Might
WAR0033,Hyderabad,228,292,Accept
WAR0034,Hyderabad,84,171,Debate
WAR0035,Delhi,117,219,Note
WAR0036,Mumbai,136,14,Collection
WAR0037,Chennai,248,196,Establish
WAR0035,Hyderabad,287,290,Teacher
WAR0039,BANGALORE,92,108,Cover
WAR0040,Delhi,281,158,Wrong
WAR0041,Bangalore,88,0,Property
WAR0042,Bangalore,190,207,Standard
WAR0043,Mumbai,187,149,Where
WAR0044,Chennai,70,140,Eat
WAR0045,Hyderabad,114,210,Fact
WAR0046,Hyderabad,119,287,Door
WAR0047,Chennai,93,275,Become
WAR0048,Hyderabad,140,196,Book
WAR0049,Mumbai,58,181,Successful
WAR0050,Chennai,85,9999,Group
WAR0051,Hyderabad,241,271,American
WAR0052,Bangalore,176,276,Manage
WAR0053,Mumbai,148,122,Situation
WAR0054,Hyderabad,6,82,A
WAR0019,Hyderabad,92,157,Conference
WAR0056,Chennai,170,202,Must
WAR0057,Chennai,214,234,Let
WAR0058,Hyderabad,295,275,From
WAR0059,hyderabad,166,16,Feeling
WAR0060,Mumbai,65,10,Have
WAR0061,Bangalore,164,285,Six
WAR0062,Hyderabad,133,163,Back
WAR0063,Hyderabad,282,223,Respond
WAR0064,Delhi,149,249,Mention
WAR0065,Mumbai,292,288,These
WAR0066,Delhi,234,248,Garden
WAR0067,Delhi,123,248,Everything
WAR0068,Delhi,81,96,Oil
WAR0069,Delhi,57,215,Feeling
WAR0070,Bangalore,246,277,Probably
WAR0071,Delhi,83,74,Build
WAR0072,Mumbai,20,157,World
WAR0073,chennai,149,10,Third
WAR0074,Bangalore,244,10,Push
WAR0075,Hyderabad,149,251,Both
WAR0076,Bangalore,150,46,Season
WAR0077,Hyderabad,107,137,Land
WAR0078,Mumbai,188,185,Hour
WAR0079,Chennai,3,156,Alone
WAR0080,Bangalore,11,90,Continue
WAR0081,Mumbai,53,246,House
WAR0082,Bangalore,36,118,Tend
WAR0083,Bangalore,174,239,Order
WAR0084,Delhi,112,284,Course
WAR0085,Chennai,9999,262,Green
WAR0086,Chennai,265,20,Area
WAR0087,Mumbai,217,203,Very
WAR0088,Bangalore,172,23,Camera
WAR0089,Bangalore,175,300,Never
WAR0090,Hyderabad,54,108,Certain
WAR0091,Hyderabad,204,108,Understand
WAR0092,Mumbai,41,269,Community
WAR0093,Hyderabad,282,161,Development
WAR0094,Bangalore,123,17,Doctor
WAR0095,Delhi,177,295,Actually
WAR0096,Delhi,203,148,Pressure
WAR0097,Bangalore,225,85,Where
WAR0098,Bangalore,58,80,Generation
WAR0099,Chennai,281,253,First
WAR0100,Chennai,204,45,Wear
WAR0101,Bangalore,131,300,Media
WAR0102,Mumbai,205,119,Activity
WAR0103,Hyderabad,287,201,Still
WAR0104,HYDERABAD,119,130,Citizen
WAR0105,Bangalore,14,171,Poor
WAR0106,Bangalore,48,18,Perhaps
WAR0107,Delhi,142,189,Party
WAR0108,Delhi,172,231,Stand
WAR0109,Delhi,106,11,Method
WAR0110,Mumbai,37,224,Including
WAR0111,Delhi,240,16,Great
WAR0112,Chennai,72,50,Cell
WAR0113,Mumbai,187,195,Instead
WAR0114,Mumbai,141,220,Sort
