ItemID,ItemName,SupplierID,StockQty,ReorderLevel,UnitPrice,LastRestockedDate
INV0001,Electronics,SUP0014,95,170,19669.69,26-04-2024
INV0002,Plastic,SUP0004,148,166,13524.08,02/05/2023
INV0003,Electronics,SUP0020,72,278,0,05/03/2022
INV0004,Electronics,SUP0014,46,165,,04-10-2024
INV0005,Electronics,SUP0018,229,148,34150.13,10/03/2022
INV0006,Steel,SUP0007,54,88,21065.34,08/23/2024
INV0007,Steel,SUP9999,32,34,1391.51,2024-05-08
INV0008,Plastic,SUP0009,178,42,41670.79,22/03/2022
INV0009,Chemicals,SUP0012,204,296,26447.92,17-04-2023
INV0010,Plastic,SUP0001,141,270,25860.08,02/11/2024
INV0011,Rubber,SUP0019,91,257,8695.26,25-06-2023
INV0012,Steel,SUP0002,248,47,42473.26,2023-02-12
INV0013,Steel,SUP0018,209,187,25361.6,2024-06-23
INV0013,Plastic,SUP0006,31,180,41827.34,09/22/2023
INV0015,Chemicals,SUP0018,64,28,32043.2,14/11/2024
INV0016,Chemicals,SUP0001,253,124,34662.2,2023-04-23
INV0017,Steel,SUP0015,219,142,1412.41,2022-06-06
INV0018,Chemicals,SUP0015,33,236,9144.52,24/11/2024
INV0019,Chemicals,SUP0016,271,182,23551.09,07/26/2022
INV0020,Steel,SUP0003,242,69,11840.23,2022-09-27
INV0021,Steel,SUP0010,257,9999,11697.98,04/23/2024
INV0022,Rubber,SUP0008,234,270,31717.52,2024-10-16
INV0023,Plastic,SUP0011,80,265,Five Hundred,11/26/2023
INV0024,Steel,SUP0011,107,58,23385.29,08/19/2022
INV0025,Plastic,SUP0006,255,245,Twenty Five Thousand,01/31/2024
INV0026,Plastic,SUP0017,66,91,34073.36,2023-11-21
INV0027,Rubber,SUP0007,209,272,45124.88,2022-06-10
INV0028,Chemicals,SUP0011,156,189,1547.29,2024-04-07
INV0029,Rubber,SUP0002,106,110,,2023-03-15
INV0030,Steel,SUP0003,38,216,2622.65,09-05-2022
INV0031,Chemicals,SUP0015,237,15,40027.31,12/14/2024
INV0032,Electronics,SUP0019,296,127,28674.56,22-10-2023
INV0033,Plastic,SUP0019,241,235,3863.44,2024-05-30
INV0034,Chemicals,SUP0009,128,31,0,2024-08-10
INV0035,Plastic,SUP0013,165,240,16975.95,15-02-2024
INV0036,Electronics,SUP0006,74,268,21591.32,17/05/2022
INV0037,Electronics,SUP0004,213,194,6373.06,10/11/2024
INV0038,Plastic,SUP0018,88,154,-3939.81,23/08/2024
INV0039,Rubber,SUP0005,57,3,11951.71,07/10/2023
INV0040,Steel,SUP9999,158,9999,18065.66,2024-06-21
INV0041,Electronics,SUP0019,92,198,34814.85,2023-10-12
INV0042,Steel,SUP0014,130,293,17889.43,06/11/2024
INV0043,steel,SUP0007,286,271,27855.39,19/07/2023
INV0044,Plastic,SUP0018,137,236,,06/26/2023
INV0045,Rubber,SUP0008,104,158,3840.61,08/19/2024
INV0046,Chemicals,SUP0019,154,25,,28/10/2022
INV0047,Electronics,SUP0006,221,220,7747.66,05/09/2024
INVALID_99,Plastic,SUP0006,143,103,10043.36,10/04/2023
INV0049,RUBBER,SUP0008,158,176,Twenty Five Thousand,03/26/2024
INV0050,chemicals,SUP0017,41,73,47323.61,2022-08-28
