MachineID,MachineName,LineID,LastMaintenanceDate,Status,OperatingHrs
MAC0001,Television,LIN0015,07-07-2022,Under Maintenance,21663.16
MAC0002,Miss,LIN0012,24-06-2023,Under Maintenance,25131.78
MAC0003,Hit,LIN0017,18-11-2022,Under Maintenance,25232.74
MAC0004,Discover,LIN0002,17/06/2024,Operational,33500.38
INVALID_93,Soldier,LIN0002,01/26/2023,faulty,
MAC0006,Each,LIN0015,06/09/2023,Under Maintenance,-1712.32
MAC0007,Skin,LIN9999,29-03-2022,Faulty,43274.69
MAC0008,Another,LIN0006,2024-06-22,Operational,40747.95
MAC0009,Daughter,LIN0015,19-04-2024,Under Maintenance,20195.88
MAC0010,Will,LIN0001,08-08-2022,Operational,3196.57
INVALID_88,Final,LIN0002,22-12-2023,Operational,47024.31
MAC0012,Simple,LIN0002,23/02/2022,Under Maintenance,21234.14
MAC0013,Phone,LIN0009,07/10/2024,operational,38351.06
MAC0014,Need,LIN0007,06-08-2023,Faulty,41066.88
MAC0015,Defense,LIN0009,2024-07-20,Under Maintenance,36225.77
MAC0016,Heavy,LIN0015,07/08/2024,Faulty,45930.9
MAC0017,Green,LIN0010,17-04-2024,Faulty,40721.32
MAC0018,Commercial,LIN9999,16-03-2024,Faulty,1149.83
MAC0019,Girl,LIN0014,23-06-2022,Operational,23957.26
MAC0020,President,LIN0004,02/05/2023,Operational,12809.56
MAC0021,Avoid,LIN0011,2024-04-06,Operational,15042.08
MAC0022,Simple,LIN0011,09/12/2023,Faulty,33181.16
MAC0023,Yard,LIN0005,04/03/2022,Under Maintenance,46520.65
MAC0024,Bit,LIN0015,27-11-2024,Faulty,0
MAC0025,Military,LIN0019,02-05-2023,Under Maintenance,1117.32
MAC0026,Tv,LIN0007,06/23/2022,Operational,43360.52
MAC0027,Property,LIN0010,2023-08-30,Faulty,Ten Thousand
MAC0028,Side,LIN0020,19/01/2024,Operational,3626.05
INVALID_77,Standard,LIN0015,04/06/2023,Under Maintenance,-4302.59
MAC0030,Road,LIN0009,26/12/2023,Operational,Twenty Five Thousand
MAC0031,Safe,LIN0020,2024-04-16,Operational,4818.95
MAC0032,Each,LIN0004,11/11/2024,operational,11497.04
MAC0033,Happen,LIN0004,2022-11-21,Under Maintenance,21719.73
INVALID_54,Response,LIN0009,16/06/2022,Under Maintenance,5171.67
MAC0035,Itself,LIN0017,2024-11-18,Under Maintenance,14712.93
MAC0036,Bring,LIN0017,06/26/2022,Under Maintenance,13657.8
MAC0037,Little,LIN0010,13-03-2023,operational,21301.56
MAC0038,Improve,LIN0003,01/14/2024,Operational,17696.91
MAC0039,Who,LIN0004,29/03/2022,Under Maintenance,0
MAC0040,Want,LIN0002,2024-02-22,Faulty,7930.61
MAC0041,Certain,LIN0020,2023-10-10,Operational,21057.8
MAC0042,Front,LIN0002,11/27/2024,Operational,45695.42
MAC0043,Natural,LIN0013,14-05-2022,Operational,22825.9
MAC0044,Quickly,LIN0001,2023-11-12,Faulty,20626.5
MAC0045,Or,LIN0001,2024-08-23,Operational,38774.86
MAC0046,Sure,LIN0014,12/12/2024,Operational,26368.86
MAC0047,But,LIN0008,2022-02-03,Faulty,46187.73
MAC0048,Political,LIN0015,2022-09-25,UNDER MAINTENANCE,22939.33
MAC0049,Past,LIN0007,11/02/2022,Faulty,Ten Thousand
