ProductID,ProductName,Category,UnitCost,TargetQty,ActualQty,QualityScore,Status,ExtraColumn
PRO0001,Christian Gross,Textiles,27218.72,47,231,28384.63,Success,EXTRA_DATA
PRO0002,Renee Flynn,Textiles,39732.4,30,0,15060.62,Century,EXTRA_DATA
PRO0003,  Kathryn Andrews  ,Electronics,20618.16,182,94,22626.3,Hard,EXTRA_DATA
PRO0004,James Matthews,Electronics,4582.76,183,189,38971.25,Dream,EXTRA_DATA
PRO0005,William Guerra,Automotive Parts,26379.38,27,93,16521.19,Difficult,EXTRA_DATA
PRO0006,Douglas Hardy,Textiles,45745.99,10,134,40211.2,Laugh,EXTRA_DATA
PRO0007,Patricia Johnson,Textiles,38676.52,231,160,7719.37,Perform,EXTRA_DATA
PRO0008,Laura Duke,Electronics,30730.46,176,143,16249.8,Will,EXTRA_DATA
PRO0009,Denise Butler,Textiles,10003.49,266,247,37089.5,Own,EXTRA_DATA
PRO0010,Susan Robinson,Automotive parts,Twenty Five Thousand,153,177,22814.68,Become,EXTRA_DATA
INVALID_75,Jean Andrews,Textiles,41856.58,264,94,516.01,Item,EXTRA_DATA
PRO0012,Amber Cole,Electronics,11467.09,252,133,48700.46,Whom,EXTRA_DATA
PRO0013,Julie Wright,Chemicals,13702.24,257,39,42578.38,Set,EXTRA_DATA
PRO0014,Donna Mcmahon,Food,38306.53,168,233,7451.92,Environment,EXTRA_DATA
PRO0015,Jessica Larson,Food,45143.01,148,223,4095.63,Product,EXTRA_DATA
PRO0016,Michael Olson,Food,6961.25,168,77,207.53,Garden,EXTRA_DATA
PRO0017,Melissa Phillips,Food,27776.76,43,48,46316.48,Democratic,EXTRA_DATA
PRO0018,Michael Lang,Electronics,Five Hundred,197,52,,Heart,EXTRA_DATA
PRO0019,David Hill,Chemicals,12748.32,78,75,15707.61,Large,EXTRA_DATA
PRO0020,Kristin Myers,Chemicals,14351.18,280,106,45145.76,Training,EXTRA_DATA
PRO0021,Pamela Perkins,Automotive Parts,19291.63,171,258,-4916.23,Citizen,EXTRA_DATA
PRO0022,Katie Gutierrez,Chemicals,29055.09,214,59,26064.56,Nation,EXTRA_DATA
