OrderID|CustomerID|ProductID|OrderDate|Quantity|TotalAmount|Status
ORD0001|CUS0018|PRO0017|02/16/2022|34|7447.69|Cancelled
ORD0002|CUS0015|PRO0008|26/11/2024|276|-450.3|Returned
ORD0003|CUS0001|PRO0018|12/10/2022|207|4182.75|DELIVERED
ORD0004|CUS0012|PRO0005|08/21/2024|9999|42384.23|Pending
ORD0005|CUS0004|PRO0009|12/12/2024|146|5092.11|Cancelled
ORD0006|CUS0013|PRO0015|07/08/2023|67|35365.03|Cancelled
ORD0007|CUS0009|PRO0016|12/06/2023|216|22310.84|Returned
ORD0008|CUS0012|PRO0004|11-04-2022|-1|48309.57|Returned
ORD0009|CUS0007|PRO0007|13/12/2023|184|40038.31|Delivered
ORD0010|CUS0017|PRO0008|10/12/2022|288|37998.02|Cancelled
ORD0011|CUS0019|PRO0015|2024-01-01|26|35809.11|Pending
ORD0012|CUS0006|PRO0013|25/04/2024|259|33086.79|Returned
ORD0013|CUS0017|PRO0007|2022-04-24|16|7152.17|Returned
ORD0014|CUS0017|PRO0003|17/04/2024|61|32372.07|Returned
ORD0015|CUS0011|PRO0009|04/28/2022|175|39020.83|Delivered
ORD0016|CUS0020|PRO0011|03/12/2024|104|40346.08|Returned
ORD0017|CUS0017|PRO9999|08/25/2024|183|31789.67|Cancelled
ORD0018|CUS0018|PRO0012|03/02/2023|277|9850.46|Cancelled
ORD0019|CUS0012|PRO0004|2024-09-22|187|47770.47|Cancelled
ORD0020|CUS0015|PRO0008|2023-10-11|66|27963.66|Delivered
ORD0021|CUS0006|PRO0004|15-12-2024|203|44562.2|Pending
ORD0022|CUS0003|PRO0008|08/13/2024|66|0|Returned
ORD0023|CUS0012|PRO0009|2024-12-17|247|41479.07|Delivered
ORD0024|CUS0018|PRO0006|27-07-2022|155|37508.14|Delivered
ORD0025|CUS0013|PRO0005|2023-06-01|17|2029.59|Cancelled
ORD0026|CUS0017|PRO0012|10/16/2024|148|34997.06|Delivered
ORD0027|CUS0012|PRO0005|03-09-2024|182|43299.63|Pending
ORD0028|CUS0012|PRO0016|11/03/2022|236|28334.99|Returned
ORD0029|CUS0019|PRO0013|2023-02-10|101|12367.72|Cancelled
ORD0030|CUS9999|PRO0015|18/09/2024|161||Cancelled
ORD0031|CUS0008|PRO9999|13/04/2023|290|19277.66|Delivered
ORD0032|CUS0012|PRO0013|20/06/2023|261|21377.46|Returned
ORD0033|CUS0011|PRO0002|04/04/2023|182|7533.06|Cancelled
ORD0034|CUS0014|PRO0003|18-12-2022|87|35031.28|Cancelled
ORD0035|CUS0008|PRO0002|19-06-2023|238|7613.54|Returned
ORD0036|CUS0017|PRO0018|2022-03-13|276|37766.45|Returned
ORD0037|CUS0020|PRO0007|2022-03-03|122|0|Returned
ORD0038|CUS9999|PRO0009|29/04/2022|63|15336.59|cancelled
ORD0026|CUS0001|PRO0009|19-11-2023|172|23462.2|Delivered
ORD0040|CUS0012|PRO0002|2024-04-17|144|13147.16|Delivered
ORD0041|CUS0015|PRO0015|2022-08-01|147|37723.79|Pending
ORD0042|CUS0014|PRO0006|2022-10-19|131|45344.19|Pending
ORD0043|CUS0019|PRO9999|03/07/2023|111|38110.59|Pending
ORD0044|CUS0005|PRO0005|05/10/2023|213|16053.78|Cancelled
ORD0045|CUS0005|PRO0002|20/06/2024|211|1684.64|Pending
ORD0046|CUS0004|PRO0015|12-11-2023|175|2565.13|Returned
ORD0047|CUS0014|PRO0014|17-09-2022|252|25834.13|Pending
ORD0048|CUS0020|PRO0010|14-08-2022|114|31385.17|Cancelled
ORD0049|CUS0006|PRO0018|2023-08-12|81||Cancelled
ORD0050|CUS0009|PRO0014|2022-05-17|215|32962.32|Delivered
ORD0051|CUS0016|PRO0009|2022-02-28|239|8955.49|Delivered
ORD0052|CUS0018|PRO0019|2022-05-15|32|43801.35|Delivered
ORD0053|CUS0014|PRO0008|14-09-2022|49|12809.95|Cancelled
ORD0009|CUS0013|PRO0007|13-01-2024|144|10492.98|returned
ORD0055|CUS0008|PRO0013|12/02/2023|118|33198.71|Delivered
ORD0056|CUS9999|PRO9999|2023-03-24|66|10426.82|Cancelled
ORD0057|CUS0019|PRO0009|04/01/2024|127|12759.7|Cancelled
ORD0058|CUS0020|PRO0020|02-11-2024|227||Pending
ORD0059|CUS0011|PRO9999|08/27/2023|164|6511.36|Delivered
ORD0060|CUS0014|PRO0020|09/11/2024|223|0|Cancelled
ORD0061|CUS0012|PRO0008|03-09-2024|146|4447.45|CANCELLED
ORD0062|CUS0012|PRO0003|22/12/2024|158|26104.27|Delivered
ORD0013|CUS0005|PRO0010|2022-02-20|291|29542.18|Cancelled
ORD0064|CUS0009|PRO0007|01/19/2024|144|39034.28|Pending
ORD0065|CUS0020|PRO0005|2024-08-31|284|19721.85|Delivered
ORD0066|CUS0015|PRO0018|12/12/2024|151|4886.27|Delivered
ORD0067|CUS0019|PRO0012|01/07/2024|155|18130.79|Delivered
ORD0068|CUS0006|PRO0010|01/12/2022|242|46849.59|Delivered
ORD0069|CUS0016|PRO0009|07/06/2024|44|30537.91|Returned
ORD0070|CUS0015|PRO0010|2023-11-19|232|10114.12|Delivered
ORD0071|CUS0009|PRO0001|2024-09-14|153|24816.15|Returned
ORD0072|CUS0001|PRO0019|2024-01-31|99|32702.75|Returned
ORD0073|CUS0003|PRO0006|09/29/2024|86|3813.81|Delivered
ORD0074|CUS0020|PRO0018|05/17/2023|271|22298.64|Pending
ORD0075|CUS0020|PRO0015|10-02-2023|140|44967.19|Cancelled
ORD0076|CUS0020|PRO0002|07/22/2022|83|35788.78|Cancelled
ORD0077|CUS0009|PRO0016|16/04/2022|115|4457.02|Delivered
ORD0078|CUS0002|PRO0019|01/10/2023|295|41772.37|delivered
ORD0079|CUS0002|PRO0008|2022-03-30|291|38655.29|Cancelled
ORD0080|CUS0006|PRO0015|2023-12-26|274|35876.02|Delivered
ORD0081|CUS0004|PRO0015|2022-01-03|149|30484.32|Delivered
ORD0082|CUS0004|PRO0009|03/15/2024|115|6657.92|Pending
ORD0083|CUS0006|PRO0014|09/08/2023|2|10699.3|cancelled
ORD0084|CUS0012|PRO9999|11/04/2022|131|38209.55|Cancelled
ORD0085|CUS0019|PRO0020|15/08/2022|61|44476.45|Cancelled
ORD0086|CUS0019|PRO0002|30/11/2024|298|40191.28|Returned
ORD0087|CUS0019|PRO0004|18-12-2023|31|28763.39|Returned
ORD0088|CUS0013|PRO0020|2024-02-13|259|0|Returned
INVALID_92|CUS0013|PRO0014|22-03-2022|156|15681.68|Returned
ORD0090|CUS0011|PRO0020|2023-08-24|217|31432.15|Delivered
ORD0091|CUS0020|PRO0018|11/02/2024|69|22718.44|Cancelled
ORD0092|CUS0016|PRO0020|04/19/2024|82|22176.83|Returned
ORD0093|CUS0019|PRO0012|26/09/2022|9||Pending
ORD0094|CUS0010|PRO0008|2023-12-28|71|26030.42|Cancelled
ORD0095|CUS0005|PRO0005|07/20/2023|49|4610.9|Returned
ORD0096|CUS0020|PRO0015|16/12/2023|83|33021.78|Pending
ORD0097|CUS0001|PRO0011|05/04/2023|273|23546.32|Returned
ORD0045|CUS0010|PRO0018|12/16/2023|26|30212.79|Returned
ORD0099|CUS0014|PRO0010|13-09-2023|76|0|Returned
ORD0100|CUS0019|PRO0014|2024-09-06|228|6859.9|Pending
ORD0101|CUS0009|PRO0001|2022-10-19|88||Pending
ORD0008|CUS0016|PRO0002|04/16/2022|16|40062.59|Delivered
ORD0103|CUS9999|PRO0003|2024-06-01|47|14353.17|Delivered
ORD0104|CUS0011|PRO9999|05/02/2024|67|44438.5|Cancelled
ORD0105|CUS0001|PRO0019|13-10-2023|160|1950.24|Delivered
ORD0106|CUS0020|PRO0008|04-11-2022|180|36298.03|Cancelled
ORD0041|CUS0004|PRO0007|2022-01-16|50|22268.29|Cancelled
ORD0108|CUS0001|PRO0016|22/07/2022|100|33975.6|Returned
INVALID_18|CUS0006|PRO0002|27/07/2023|87|22661.46|Delivered
ORD0110|CUS0020|PRO0003|04/09/2022|201|40091.73|Delivered
ORD0111|CUS0013|PRO0010|2022-05-12|20|35118.46|Pending
ORD0112|CUS0018|PRO0018|14-10-2023|40|16178.95|Pending
ORD0113|CUS0004|PRO0016|06/10/2024|82|36207.76|Pending
ORD0114|CUS0014|PRO0003|10/28/2024|231|28856.23|Delivered
ORD0115|CUS0008|PRO0001|25/06/2023|153|8040.97|Pending
ORD0116|CUS0006|PRO0014|03/04/2024|281|47433.08|Pending
ORD0117|CUS0018|PRO0004|03/01/2023|199|26158.89|Delivered
INVALID_98|CUS0002|PRO0014|2024-11-12|181|31239.07|Delivered
ORD0119|CUS0002|PRO0008|02/02/2022|36|17706.71|Returned
ORD0120|CUS0018|PRO0010|21-12-2024|78|28104.52|Pending
ORD0121|CUS0014|PRO0011|03/11/2024|13|8481.8|returned
ORD0122|CUS0015|PRO0015|06/28/2022|55|41295.65|delivered
ORD0123|CUS0008|PRO0001|03/12/2023|111|48765.96|Pending
ORD0124|CUS0003|PRO0010|12/09/2022|277|18144.08|Cancelled
ORD0125|CUS0012|PRO0020|02/16/2024|252|48607.28|Returned
ORD0126|CUS0004|PRO0016|17-07-2024|134|39676.78|Pending
ORD0127|CUS0005|PRO0002|2023-10-20|211|38359.43|Delivered
ORD0128|CUS0020|PRO0011|24-06-2024|270|18580.12|cancelled
ORD0129|CUS0020|PRO0014|2023-05-08|60||Pending
ORD0130|CUS0013|PRO0005|27-01-2022|222|34256.72|Cancelled
ORD0131|CUS0010|PRO0005|11/01/2023|39|6609.07|Pending
