ProductID,ProductName,Category,Price,StockQty,SupplierID,Status,ExtraColumn
INVALID_83,Christopher Montgomery,Sports,40869.68,77,SUP0008,Minute,EXTRA_DATA
PRO0002,William Mahoney,Clothing,21065.89,238,SUP0010,Owner,EXTRA_DATA
PRO0003,Tammy Brooks,Clothing,36669.14,40,SUP0011,Design,EXTRA_DATA
PRO0004,Karen Barton,Furniture,3266.46,181,SUP0003,Against,EXTRA_DATA
PRO0005,Jason Saunders,Sports,7718.86,114,SUP0005,Reflect,EXTRA_DATA
PRO0006,Jeremy Dunn,Grocery,39018.49,3,SUP0002,Ground,EXTRA_DATA
PRO0007,Mark Hernandez,Books,6937.34,137,SUP0007,Performance,EXTRA_DATA
PRO0008,Edwin Rogers,Furniture,Five Hundred,135,SUP0008,Walk,EXTRA_DATA
PRO0009,Nicholas Stark,Electronics,36100.51,288,SUP0009,Late,EXTRA_DATA
PRO0010,  Katelyn Reid  ,Books,3982.63,183,SUP0017,Together,EXTRA_DATA
PRO0004,Tiffany Mejia,Furniture,4638.86,70,SUP0008,Ability,EXTRA_DATA
PRO0012,Alex Murillo,Furniture,21512.65,85,SUP0009,Yard,EXTRA_DATA
PRO0013,Sonia Carpenter,Clothing,16403.64,80,SUP0011,Identify,EXTRA_DATA
PRO0014,  Helen Rios  ,Furniture,34244.83,94,SUP0013,Public,EXTRA_DATA
PRO0015,Julie Pierce,Furniture,,118,SUP0012,Effect,EXTRA_DATA
PRO0016,Joe Phillips,SPORTS,7285.44,29,SUP0008,Section,EXTRA_DATA
PRO0017,David Austin,Sports,6454.87,147,SUP0020,Activity,EXTRA_DATA
PRO0018,Thomas Robles,Grocery,10277.16,30,SUP0016,Individual,EXTRA_DATA
PRO0019,  Jose Kim  ,Furniture,34307.25,55,SUP0014,Have,EXTRA_DATA
INVALID_54,Christopher Moreno,Electronics,34630.62,127,SUP0002,Everything,EXTRA_DATA
PRO0021,Joseph Aguirre,Furniture,41240.75,10,SUP0010,Poor,EXTRA_DATA
PRO0022,Melissa Montgomery,Sports,22235.13,240,SUP0008,Happy,EXTRA_DATA
PRO0023,Jessica Gardner,Grocery,46003.18,186,SUP0014,Finally,EXTRA_DATA
PRO0024,Ann Stephenson,Books,43131.51,84,SUP0016,Order,EXTRA_DATA
PRO0025,John Ruiz,Electronics,40412.61,80,SUP0006,Western,EXTRA_DATA
PRO0026,Christopher Patton,Grocery,0,24,SUP0014,Model,EXTRA_DATA
PRO0027,Frederick Crane,furniture,40491.79,56,SUP0009,Finally,EXTRA_DATA
PRO0028,Emily Copeland,Sports,49107.6,108,SUP0005,Price,EXTRA_DATA
PRO0029,Larry Obrien,Books,41048.68,75,SUP0017,Dream,EXTRA_DATA
PRO0030,Brittany Hernandez,Electronics,25042.03,12,SUP0003,Whom,EXTRA_DATA
PRO0031,Daniel Le,Furniture,38138.15,31,SUP0008,Available,EXTRA_DATA
