SupplierID,SupplierName,Country,Rating,LeadTimeDays
SUP0001,Investment,China,140,3
SUP0002,Culture,India,229,278
SUP0003,Small,USA,0,71
SUP0004,Recently,USA,237,173
SUP0005,Remember,China,162,19
SUP0006,Mrs,India,73,112
SUP0007,Message,Germany,232,280
SUP0008,Policy,China,241,49
SUP0009,Mind,USA,237,51
SUP0010,Reality,Germany,264,196
SUP0011,Behind,UK,276,241
SUP0012,Market,Germany,31,236
SUP0013,Financial,China,254,281
SUP0014,Other,UK,296,57
SUP0015,Huge,USA,15,122
SUP0016,Race,CHINA,20,30
SUP0017,Next,USA,294,32
SUP0018,Same,USA,74,43
SUP0019,Law,india,298,136
SUP0020,Record,UK,8,106
SUP0021,Consider,UK,77,131
SUP0022,Model,China,270,197
SUP0023,Fish,USA,-1,241
SUP0024,Career,Germany,79,196
SUP0025,Design,UK,226,113
SUP0026,Away,China,21,214
SUP0027,Piece,India,288,116
SUP0028,Base,Germany,158,91
SUP0029,Smile,Usa,195,280
SUP0030,Long,Germany,246,230
SUP0031,Beyond,Germany,107,216
SUP0032,She,USA,57,215
SUP0033,Debate,UK,67,247
SUP0034,Risk,UK,300,79
SUP0035,Energy,China,176,226
SUP0036,Commercial,China,111,85
SUP0037,Face,India,97,17
SUP0038,Speech,USA,109,285
SUP0039,Reflect,UK,-1,190
SUP0040,Here,UK,66,35
SUP0041,Way,UK,176,234
SUP0042,Event,India,265,149
SUP0043,Series,Germany,83,293
SUP0044,Some,India,22,14
SUP0045,Coach,Germany,135,123
SUP0046,Me,China,15,73
SUP0047,Tough,Germany,77,16
SUP0048,Really,UK,16,219
SUP0049,Bit,USA,187,1
SUP0050,Forget,UK,233,117
SUP0051,Site,Germany,41,12
SUP0052,Box,India,283,245
SUP0053,Heart,USA,18,52
SUP0054,West,India,26,181
SUP0055,Wonder,Germany,55,174
SUP0056,Into,GERMANY,267,74
SUP0057,Nothing,China,192,108
SUP0058,Beat,India,9999,255
SUP0059,It,China,296,54
INVALID_73,Keep,Germany,191,266
SUP0061,Stay,China,51,262
SUP0062,Also,UK,189,180
SUP0063,Store,India,256,201
SUP0064,Nor,China,52,296
SUP0065,Give,UK,132,300
